index;question;context;answers;id
365;How much stake does the Republic of Slovenia have in NLB?;ncial assistance receivedfrom government1. Republic of Slovenia has 25% stake  1 share in NLB.See the Banks page https//www.nlb.si/shares;{'text': ['25%'], 'answer_start': [68]};147
367;What percentage of senior management are hired from the local community?;202-2 Proportion of senior managementhired from the local community98% of senior management are hired from the local community.;{'text': ['98%'], 'answer_start': [67]};148
370;When did both governance bodies address climate-related risks and opportunities?;dingclimate- related in risk management framework, respectively. In 2022, both governancebodies addressed had oversight, discussed and/or ma;{'text': ['2022'], 'answer_start': [68]};149
371;In what year did both governance bodies address ESG related topics?;dingclimate- related in risk management framework, respectively. In 2022, both governancebodies addressed had oversight, discussed and/or ma;{'text': ['2022'], 'answer_start': [68]};150
372;In what year were concrete targets included in the Banks performance plans?;In 2022, concretetargets have been included in their performance plans, and ;{'text': ['2022'], 'answer_start': [3]};151
373;When was the NLB Green Housing Loan introduced?;uction of the first green financing offer NLBGreen Housing Loan in 2020, the Group continues to strengthen its sustainable financepropositio;{'text': ['2020'], 'answer_start': [67]};152
374;In what year is the NLB group sustainability report presented?;egories, and presented inthe report.NLB Group Sustainability Report 2022Chapter Identification and assessmentof climate-related and other E;{'text': ['2022'], 'answer_start': [68]};153
377;How much reduction in CO2 did NLB Group account for in 2022 compared to 2021?;financedemissions of NLB Group accounted for 19,906 t CO2, which is 46% reduction comparedto 2021. . To calculate emissions the guidelines o;{'text': ['46%'], 'answer_start': [68]};154
380;By 2030, how much of all electric energy will come from zero-carbon sources?;50% reduction of paper print by 202575% of all electric energy from zero-carbon sources by 2030. Targets in ;{'text': ['75%'], 'answer_start': [36]};155
381;By what year did NLB Group form the emission calculation for the Slovenian market?;By end of 2022 we formed the emission calculation for the Slovenian market, whereas ;{'text': ['2022'], 'answer_start': [10]};156
383;By the end of what year will NLB Group be merged with KB Bank?;r of the bank wit NLB d.d.,which is to be completed by the end of Q3 2023.Distribution of the number of customers and clientsserved in NLB Gr;{'text': ['2023'], 'answer_start': [69]};157
384;In what year did NLB Group adopt the Sustainability Framework?;sespecify which ones -------------------------None of the aboveIn 2020, NLB Group adopted the Sustainability Framework,which forms the basi;{'text': ['2020'], 'answer_start': [66]};158
387;In what year did NLB Group focus on strengthening governance across the group?;In 2022, NLB Group paid particular attention to strengtheninggovernance acro;{'text': ['2022'], 'answer_start': [3]};159
389;When was the impact analysis based on the UN PRB methodology conducted?;roup conducted the impact analysis based on the UNPRB methodology in 2021 with reference data for 2020.As a first step of the impact analysis,;{'text': ['2021'], 'answer_start': [69]};160
392;How many business lines did the NLB Group portfolio break down into?;tors.In the impact analysis, the NLB Group portfolio was brokeninto four business lines according to the UN PRB FI tool, andthe data indicato;{'text': ['four'], 'answer_start': [68]};161
394;In what year did NLB Group focus its operations on the merger with Komercijalna Banka and the acquisition of N banka?;nalAs described in chapter 1.1. NLB Group focused its operationsin 2022 on the merger with Komercijalna Banka andthe acquisition of N banka.;{'text': ['2022'], 'answer_start': [67]};162
396;In what year was a law passed that protects the energy sector from the negative impacts of climate change?; sectors,had a very high share of greenhouse gas GHG emissions.In 2019, Montenegro adopted a law on protection fromthe negative impacts of ;{'text': ['2019'], 'answer_start': [66]};163
397;What is the reduction of national net GHG emissions by 2050 compared to 1990 levels?; including Forestry and Other Land Use andexcluding MEMO items of 72% by 2050 compared to 1990levels and increased resilience of North Mac;{'text': ['72%'], 'answer_start': [66]};164
405;How many bank advisors do NLB cover?;covers 733 advisors, 53% bank advisors and 47% financialadvisors. All advisors regularly atte;{'text': ['53%'], 'answer_start': [21]};165
406;What percentage of financial advisors are covered by NLB?;covers 733 advisors, 53% bank advisors and 47% financialadvisors. All advisors regularly attend internal and extern;{'text': ['47%'], 'answer_start': [43]};166
408;What year did sustainable corporate financing start?;nable corporate financing. Sustainable corporate financing started in2021 as a new approach focusing exclusively on sustainability-related proj;{'text': ['2021'], 'answer_start': [69]};167
409;Sustainable corporate financing started in what year?;nable corporate financing. Sustainable corporate financing started in2021 as a new approach focusing exclusively on sustainability-related proj;{'text': ['2021'], 'answer_start': [69]};168
410;How many targets did the NLB Bank announce in 2021?;reaching the target? Pleasedisclose.The NLB Bank publicly announced four targets in 2021, andin 2022 we started with activities to further de;{'text': ['four'], 'answer_start': [68]};169
413;How much of all electricity used in NLB Group will come from zero-carbon sources by 2030?;sustainable-finance/overview-sustainable-financeenBy the year 2030,75% of all electricenergy used in NLBGroup will comefrom zero-carbons;{'text': ['75%'], 'answer_start': [67]};170
414;By 2025, what will be the share of active digital retail users in NLB Group?;y 2025, the shareof active digitalretail users in NLBGroup will be 55%.;{'text': ['55%.'], 'answer_start': [67]};171
415;By 2030, what percentage of all electric energy used in NLB Group will come from zero-carbon sources?;YesIn progressNoYesIn progressNoYesIn progressNo2. By 2030, 75% of all electric energy used in NLB Group willcome from zero-carbon s;{'text': ['75%'], 'answer_start': [60]};172
416;The share of active digital retail by 2025 will be what?;y 2025, the share of active digital retail users in NLB Groupwill be 55%- promoting the use of digital channels to various targetgroups via ;{'text': ['55%'], 'answer_start': [69]};173
417;By 2025, the share of active digital retail users in NLB Group will be what percentage?;y 2025, the share of active digital retail users in NLB Groupwill be 55%- promoting the use of digital channels to various targetgroups via ;{'text': ['55%'], 'answer_start': [69]};174
421;By 2025, what percentage of active digital retail users will be in NLB Group?;y 2025, the share of activedigital retail users in NLB Groupwill be 55%.NLB Group has committed to digital penetration of55% on the group le;{'text': ['55%.'], 'answer_start': [68]};175
422;What percentage of digital penetration on the group level by 2025 will be achieved?;B Groupwill be 55%.NLB Group has committed to digital penetration of55% on the group level by 2025. At the end of 2022, NLBGroup reached 40.;{'text': ['55%'], 'answer_start': [15]};176
423;In what year did NLB participate in the preparation of the banking-sector-wide, unified ESG questionnaire?;rate with different workinggroups on implementing sustainability. In 2022, NLB Groupparticipated in the preparation of the banking-sector-wide;{'text': ['2022'], 'answer_start': [69]};177
425;What is the first reporting date for BASEL Pillar 3 ESG Disclosures?;he NLBGroup has integrated is explained in the Sustainability Report 2022.Basel Pillar 3 ESG Disclosures will be available on the NLB web page;{'text': ['2022'], 'answer_start': [69]};178
427;What is the name of the non-financial reporting directive?; Investment Guarantee AgencyNACE Nomenclature of Economic ActivitiesNFRD The Non-Financial Reporting Directive 2014/95/EUNLB d.d. NLB d.d. ;{'text': ['NFRD'], 'answer_start': [68]};179
428;What is the name of the Non-Financial Reporting Directive?; Investment Guarantee AgencyNACE Nomenclature of Economic ActivitiesNFRD The Non-Financial Reporting Directive 2014/95/EUNLB d.d. NLB d.d. ;{'text': ['NFRD'], 'answer_start': [68]};180
429;What was planted by our employees throughout the region?;fromzero carbon energysourceoperationalcarbonfootprintreductiontrees were plantedby our employeesthroughout theregion.new sustainable;{'text': ['trees'], 'answer_start': [63]};181
430;How many employees took part in training programmes?;by 10 pointsvs. year 2021, and by 44 points vs. baseline year 2019 82,280 employees took part in 1,690 trainingprogrammes. ;{'text': ['82,280'], 'answer_start': [67]};182
431;How many employees took part in training programmes in the baseline year 2019?;by 10 pointsvs. year 2021, and by 44 points vs. baseline year 2019 82,280 employees took part in 1,690 trainingprogrammes. ;{'text': ['82,280'], 'answer_start': [67]};183
432;How many subsidiary banks are in Southeast Europe?;of NLB, the leading and systemicallymost important bank in Slovenia, seven subsidiary banksin Southeast Europe SEE, several companies providi;{'text': ['seven'], 'answer_start': [69]};184
435;How many main pillars of sustainable development are defined within the Sustainability Framework?;llars of NLB Group sustainabilityWithin the Sustainability Framework three main pillars of sustainable development are defined whichset the bro;{'text': ['three'], 'answer_start': [69]};185
436;How many pillars of sustainable business does NLB Skladi pursue?;ring an ethical andefficient business operations.NLB Skladi pursues three pillars of sustainable businessCEO StatementKey Highlights 2022Ab;{'text': ['three'], 'answer_start': [68]};186
446;How many of the members represent the interests of shareholders?;ksSupervisory Board consists of a total of twelve members, ofwhich eight represent the interests of shareholders and fourthe interests of emp;{'text': ['eight'], 'answer_start': [67]};187
447;How many shareholders did the Supervisory Board address in 2022?;ksSupervisory Board consists of a total of twelve members, ofwhich eight represent the interests of shareholders and fourthe interests of emp;{'text': ['eight'], 'answer_start': [67]};188
448;What is the acronym for the Internal Liquidity Adequacy Assessment Process?;ppetite of NLB Group Internal Liquidity AdequacyAssessment Process ILAAP, Internal Capital AdequacyAssessment Process ICAAP in NLB GroupK;{'text': ['ILAAP'], 'answer_start': [67]};189
449;How many new members of the Management Board will be added to the NLB in 2022?;nt Board members andheads of control functions, Development plan for threenew members of the Management Board, Training for themembers of the ;{'text': ['three'], 'answer_start': [69]};190
450;How many decision-making bodies are supported by directors?;ve Management Board members are supported bydirectors B-1 level in three decision-making bodies, whichalso discuss sustainability considerati;{'text': ['three'], 'answer_start': [67]};191
451;How many lines of defence does the internal control system have?;Sustainable Development unit as well.Sustainability control through threelines of defenceThe internal control system in NLB Group is implemen;{'text': ['three'], 'answer_start': [68]};192
452;How many lines of defence are there in the NLB Group?;Sustainable Development unit as well.Sustainability control through threelines of defenceThe internal control system in NLB Group is implemen;{'text': ['three'], 'answer_start': [68]};193
453;What did the bank manage to reduce the use of?;age. Following our initiatives,the bank managed to reduce the use of paper by upto 19% in 2022 compared to the previous year.;{'text': ['paper'], 'answer_start': [69]};194
470;What percentage of legal entities are digitalised in NLB Banka Banja Luka?; on the other hand, are the mostdigitalised in NLB Banka Banja Luka 85.60% and NLB BankaPodgorica 84.50%.NLB offers a Digital package and Dig;{'text': ['85.60%'], 'answer_start': [68]};195
471;How much of the legal entity is digitalised?; on the other hand, are the mostdigitalised in NLB Banka Banja Luka 85.60% and NLB BankaPodgorica 84.50%, together 85.50%.NLB offers a Digital package and Dig;{'text': ['85.50%'], 'answer_start': [115]};196
472;How much of NLBs demands are fulfilled via digital channels?;presents 16.2% of totaldemands and in NLB Banka Skopje 15.10%. In NLB 12.30% ofcontracts are concluded via digital channels.NLB Pay is a mobile ;{'text': ['12.30%'], 'answer_start': [70]};197
473;What percentage of contracts are concluded through digital channels in NLB?;presents 16.20% of totaldemands and in NLB Banka Skopje 15.10%. In NLB 12.30% ofcontracts are concluded via digital channels.NLB Pay is a mobile ;{'text': ['12.30%'], 'answer_start': [71]};198
474;What percentage of NLB clients are active users?; NLBand NLB Group members, together having 102,902 clients,of which 28.80% are active users. ;{'text': ['28.80%'], 'answer_start': [68]};199
475;What is the name of NLBs first and only app for older people?;th their firstand only app exclusively made for older people, namedMagda. Magda is full of useful information tailormadefor seniors. Cyberse;{'text': ['Magda'], 'answer_start': [67]};200
476;What is the last pillar of cooperation between our mobile branch NLB BankGo and their mobile classroom?;th their firstand only app exclusively made for older people, namedMagda. Magda is full of useful information tailormadefor seniors. Cyberse;{'text': ['Magda'], 'answer_start': [67]};201
477;How many different sets of activities were provided in Sarajevo?;hey created special guides on how to makepayments, while in Sarajevo three different sets of activitieswere provided  Digital Corner e-bankin;{'text': ['three'], 'answer_start': [69]};202
478;How many kilometres did the bank and go travel on the road in total?;sent at specially arranged events, clocking up in totalapproximately 45,000 kilometres on the road.;{'text': ['45,000'], 'answer_start': [69]};203
479;How many modules did the 2022 ECB Climate Stress test exercise consist of?;was includedinto 2022 ECB Climate Stress test exercise, consisted of threemodules. ;{'text': ['three'], 'answer_start': [69]};204
480;How many modules were included in the 2022 ECB Climate Stress test exercise?;was includedinto 2022 ECB Climate Stress test exercise, consisted of threemodules. ;{'text': ['three'], 'answer_start': [69]};205
483;How many levels is ESG risk management considered?;cial impacts.According to ESMS, ESG risk management is considered onthree levels having a low impact on the environment and having thepoten;{'text': ['three'], 'answer_start': [68]};206
484;How many levels is a low impact on the environment considered?;cial impacts.According to ESMS, ESG risk management is considered onthree levels having a low impact on the environment and having thepoten;{'text': ['three'], 'answer_start': [68]};207
486;How much new green loan volume did NLB Group generate for micro and corporate clients?;ew green loan volume for micro and corporate clients in the amount of 166,9The purpose of financing was to support wind farms, solar projects, b;{'text': ['166,9'], 'answer_start': [70]};208
487;What was the amount of the financing for micro and corporate clients?;ew green loan volume for micro and corporate clients in the amount of 166,9The purpose of financing was to support wind farms, solar projects, bi;{'text': ['166,9'], 'answer_start': [70]};209
489;When did NLB Group join Net-Zero Banking Alliance?;dcommitments of Net-Zero Banking Alliance, which NLB Groupjoined in May 2022.Therefore, this chapter does not include a detailed descriptionat t;{'text': ['May 2022'], 'answer_start': [68]};210
543;How many members make up the Banks Supervisory Board?;d sustainability. The BanksSupervisory Board consists of a total of twelve members, ofwhich eight represent the interests of shareholders and f;{'text': ['twelve'], 'answer_start': [68]};211
549;What was the turnover rate in NLB Group in 2022 compared to 2021?;ageIn 2022, the overall turnover of employees in NLB Group stood at 14.5%. The graph shows furtherdistribution of this share by gender and age.;{'text': ['14.5%.'], 'answer_start': [68]};212
550;In 2022, what was the turnover of NLB Komercialna banka and N Banka?;ageIn 2022, the overall turnover of employees in NLB Group stood at 14.5%. The graph shows furtherdistribution of this share by gender and age.;{'text': ['14.5%.'], 'answer_start': [68]};213
551;What was the turnover of employee s in NLB Group in 2022?;ageIn 2022, the overall turnover of employees in NLB Group stood at 14.5%. The graph shows furtherdistribution of this share by gender and age.;{'text': ['14.5%.'], 'answer_start': [68]};214
559;How many NLB and NLB Group members together have?;s ATMs. It is available in NLBand NLB Group members, together having 102,902 clients,of which 28.8% are active users. ;{'text': ['102,902'], 'answer_start': [69]};215
560;How much of all card transactions in NLB go through NLB Pay?;In NLB 1.86% of all cardtransactions go through NLB Pay, while in NLB Prishtina t;{'text': ['1.86%'], 'answer_start': [7]};216
561;What is NLB Prishtinas percentage of card transactions?;ough NLB Pay, while in NLB Prishtina thepercentage is even higher at 2.95%.CEO StatementKey Highlights 2022About This ReportNLB Group at aGl;{'text': ['2.95%.'], 'answer_start': [69]};217
566;Owners of buildings who do not sell or rent out their properties do not need what?;of buildings who do not sell or rent out their properties donot need an EPC. ;{'text': ['an EPC'], 'answer_start': [69]};218
583;In 2022, how many hours were recorded in education about sustainability topics?;In 2022, NLB d.d. recorded 1452,8 hours of education aboutsustainability topics. In NLB d.d. we also p;{'text': ['1452,8'], 'answer_start': [27]};219
598;What is equipped with NFC technology so clients can pay at all POS terminals that allow contactless payment and withdraw cash at contactless ATMs?; 15.1%. In NLB 12.3% ofcontracts are concluded via digital channels.NLB Pay is a mobile wallet that enables contactless paymentswith smartphones;{'text': ['NLB Pay'], 'answer_start': [68]};220
599;What is a key enabler of the transition towards a low-carbon economy and society?;ityloss PollutionContentsSustainable Finance and Risk ManagementFinance is a key enabler of the transitiontowards a low-carbon economy and s;{'text': ['Finance'], 'answer_start': [37]};221
608;The Bank supported the sustainable mobility project MBajk in what city?;lovenia. The Bank supported the sustainablemobility project MBajk in Maribor, which provides anefficient and user-friendly system with 200 bicycl;{'text': ['Maribor'], 'answer_start': [69]};222
1001;What does the report accurately and completely represent?;s GHG statements the report accurately and completely represents GHGemissions Scope 1, 2, and 3 limited and without Category15, financed emission;{'text': ['GHGemissions'], 'answer_start': [65]};223
1002;Optimization of what in buildings?;ize heating/lighting use.Divestment of real estates.Optimization of space-demand in buildings.;{'text': ['space-demand'], 'answer_start': [68]};224
1003;What award did NLB d.d. receive for the seventh year in a row?;l knowledge and contributions to the HR field,NLB d.d. received the Top Employer award for the seventhyear in a row by the recognised Dutch Top Empl;{'text': ['Top Employer'], 'answer_start': [68]};225
1006;What must an employee do if a danger to their safety and health is identified?;he safety and health of the employee isidentified, the employee must stop working. He/She must informa superior, who must take care to eliminate the d;{'text': ['stop working'], 'answer_start': [69]};226
1007;What are the deadlines for informing employees and their representatives prior to the implementation of significant operational changes that could substantially affect them?;toperational changes that could substantially affect them rangefrom 8 to 30 days, subject to the nature of operational change.At NLB Komercijalna ban;{'text': ['8 to 30 days'], 'answer_start': [68]};227
1009;The policy sets out the conditions for the allocation and payment of the variable part of what?;the conditions for the allocation and payment of the variablepart of remuneration.The starting point for setting goals for employees is theimplementa;{'text': ['remuneration'], 'answer_start': [69]};228
1010;What did the Group assess as more of a material than a physical risk?;re are certain industries which are directly or indirectly related to fossil fuels and such industries are consideredriskier. The level of transition;{'text': ['fossil fuels'], 'answer_start': [70]};229
1013;What does sustainable finance integrate into its business and investment decisions for the lasting benefit of Group clients?;nternal governance arrangements. Thus, sustainable financeintegrates ESG criteria into Groups business and investmentdecisions for the lasting benefi;{'text': ['ESG criteria'], 'answer_start': [69]};230
1014;What is not determined as material risk?;Chronic risk is not determined asmaterial risk. Transition risks arise already on;{'text': ['Chronic risk'], 'answer_start': [0]};231
1016;What does NLB Group aim to achieve in 2022?;rics and TargetsOur journey to net-zeroNLB Group aimsto achieve theNet-ZerogoalCEO StatementKey Highlights 2022About This ReportNLB Group at aGl;{'text': ['Net-Zerogoal'], 'answer_start': [67]};232
1018;What will exposures that are not fully supported by published Taxonomy reporting be assigned?;t for specified use ofproceeds exposures, therefore will be assigned a null valuewhen it comes to inclusion in estimation.CEO StatementKey Highlight;{'text': ['a null value'], 'answer_start': [69]};233
1019;What is one in ten deaths in the Western Balkans?;tion iseven more alarming, as according to some scientific findings,polluted air in this area causes one in ten deaths. The projectis led by Slovenia;{'text': ['polluted air'], 'answer_start': [68]};234
1030;Transition risk and physical risk are subcategories of what?;onmentalrisk. Transition risk and physical risk are subcategories of climate risk.The Group conductsa materiality assessment, as part of its overall r;{'text': ['climate risk'], 'answer_start': [69]};235
1031;What does ESMS apply to?;plemented Environmental and Social Management System ESMS applies totransactions with the greatest potential for significant negative environmental an;{'text': ['transactions'], 'answer_start': [68]};236
1032;What should banks disclose for their lending and other financial intermediary business activities?;ing were also set. EUR 785 million by 2030d Banks should disclose GHGemissions for their lending andother financial intermediarybusiness activitie;{'text': ['GHGemissions'], 'answer_start': [66]};237
1037;How many significant impact areas did your bank prioritize?;tpositive and negative impact areas has your bank identified?Which at least two significant impact areas did you prioritizeto pursue your target se;{'text': ['at least two'], 'answer_start': [67]};238
1043;How much sustainable corporate financing did we create?;nd starteddeveloping the comprehensive NLB Group Net Zero Strategy EUR 166,9 mio of sustainable corporate financing, andEUR 53 mioof green loans to p;{'text': ['EUR 166,9 mio'], 'answer_start': [67]};239
1045;What was the record high profit generated by NLB in the 2022 financial year?;th successful operations, NLB Group generated a recordhigh profit of 446.9 million in 2022, with the acquisitionof N Banka in March significantly influ;{'text': ['446.9 million'], 'answer_start': [69]};240
1048;By 2022, how much of new corporate financing has been implemented?;Target achivements in 2022By year 2022 the NLB Group has implemented 166.9 million ofnew sustainable corporate financing.Publicly announced target by ;{'text': ['166.9 million'], 'answer_start': [69]};241
1050;What is one of the key responsibilities of the Sustainability unit?;tions, and the media.Stakeholder engagement onsustainability topicsCommunication and the nurturing of good relations withinternal and external stakeh;{'text': ['Communication'], 'answer_start': [67]};242
1054;Who has the influence over sustainability-related strategic objectives?;dESMS Officers of NLB Group are permanently invited to themeetings.The Committee oversees the integration of the ESG factors intothe NLB d.d. and NLB;{'text': ['The Committee'], 'answer_start': [67]};243
1056;What is the part of the variable remuneration that depends on performance against defined goals?;ariable remuneration, depending on performance againstdefined goals, severance pay is also the part of variable renumeration. 2 For more informati;{'text': ['severance pay'], 'answer_start': [69]};244
1057;What is subject to meeting financial and non- financial goals?;s holiday allowance, jubilee award, solidarity assistance,etc.. The variable part is subject to meeting financial and non-financial goals.;{'text': ['variable part'], 'answer_start': [68]};245
1058;What is constantly tested and upgraded in the Group?;Cybersecurity in the Group is constantly tested and upgraded bysecurity assessment;{'text': ['Cybersecurity'], 'answer_start': [0]};246
1062;Why was NLB unable to provide baseline 2019 data?;ears to provide baseline 2019 data. The reasons for this decisionare data scarcity, and low impact of N Banka due to size, employee number and faciliti;{'text': ['data scarcity'], 'answer_start': [69]};247
1063;What does NLB Group Fleet aim to be?;ransition and company car user acceptance,NLB Group Fleetaims to bezero-emission Transport demand management pre-prepared solutionsfor different s;{'text': ['zero-emission'], 'answer_start': [67]};248
1065;How many employees were included in focus groups across the entire Group?;conducted internal and external research and interviews,and included more than 400 employees in focus groupsacross the entire Group. With this feedback;{'text': ['more than 400'], 'answer_start': [69]};249
1069;NLB Group will strive to reduce the pay gaps by balancing gender representation by what?;duce the pay gaps by progressively balancing gender representation by job positionsand by pay quartiles according to the overall gender structure of the;{'text': ['job positions'], 'answer_start': [70]};250
1071;What title goes to a branch where employees work together?;experience, the GoldenBranch competition, was established. The title Golden Branchgoes to a branch where employees work together, wherecustomers are r;{'text': ['Golden Branch'], 'answer_start': [69]};251
1072;Settlement on all levels of the process, settlement of satisfactory reimbursement requests in what way?; of the process, settlement ofsatisfactory reimbursement requests in a unified way. Registration of complaints such as to enable contentanalysis with;{'text': ['a unified way'], 'answer_start': [69]};252
1073;What is the largest share of complaints in the Slovenian banking system?;tisfaction surveys.Similarly to the entire Slovenian banking system, card serviceshave the largest share in the total number of complaints,whereas the;{'text': ['card services'], 'answer_start': [69]};253
1076;What scale does the Group use?;th actual or proxy emissions data. Here, too, theGroup uses the same 5 level scale as described above. ;{'text': ['5 level scale'], 'answer_start': [69]};254
1077;The level of transition risk does not depend on the industry itself but on what?;ansition risk does not depend only on the industry itself but also on the companies ESG awareness, strategy, efficiency,etc.;{'text': ['the companies'], 'answer_start': [70]};255
1079;The real estate portfolio reveal that some losses could occur due to what?; the real estate portfolio reveal that some losses could occur due to physical risk, though with no significantimpact on the Groups performance.;{'text': ['physical risk'], 'answer_start': [70]};256
1082;What are absolute emissions and emissions intensity in line with?;ly publishing absolute emissions and emissionsintensity in line with best practice and, within a year ofsetting targets, disclosing progress against a ;{'text': ['best practice'], 'answer_start': [69]};257
1083;How many sponsorships, donations, partnerships, project and other initiatives were executed in 2022?;ctive is to increase the share of CSR activitiesthat pursue UN SDGs.More than 100 sponsorships, donations, partnerships, projectand other initiatives ;{'text': ['More than 100'], 'answer_start': [68]};258
1084;How many seedlings did NLB Banka Skopje donate to the park forest?;es andclearing the burned terrain, which resulted in the donationof more than 300 seedlings for this park forest.SDG 15  Life on Land In the volu;{'text': ['more than 300'], 'answer_start': [68]};259
1085;What is an inspiration for all of society?;pport of varioussport associations, larger and smaller sports clubs, youngathletes, whose talent and sportsmanship are an inspirationfor all of society;{'text': ['youngathletes'], 'answer_start': [69]};260
1087;Who will become a central supporter and partner for art and artists in our region?;Southeast Europe, as well as designa new art collection and gallery.The NLB Group will thus become a central supporterand partner for art and artists ;{'text': ['The NLB Group'], 'answer_start': [68]};261
1088;What is a key highlight of the 2022 report?;n sustainability related topicsin the Sustainability Report, page 35CEO StatementKey Highlights 2022About This ReportNLB Group at aGlanceSustainab;{'text': ['CEO Statement'], 'answer_start': [68]};262
1089;What is a key highlight of the 2022 report?;ns in energy requirementsof products and servicesYes Not applicableCEO StatementKey Highlights 2022About This ReportNLB Group at aGlanceSustainab;{'text': ['CEO Statement'], 'answer_start': [67]};263
1094;What does NLB Group operate in line with?;Report, page 392. Please note NLB Group operations are in line with ILO standards relatedto abolition of child labor, they adhere to national legislat;{'text': ['ILO standards'], 'answer_start': [68]};264
1095;What are NLBs operations in line with?;Please note NLB Group operations are in line with ILO standards relatedto elimination of forced labor, they adhere to national legis;{'text': ['ILO standards'], 'answer_start': [50]};265
1628;What does RM stand for?;ks.In the process of the transaction approval, engagement ofthe RM Relationship Manager is essential to collecting ESGdata at the KYC stage. After the chec;{'text': ['Relationship Manager'], 'answer_start': [67]};266
2002;What are the employees at NLB Banka Sarajevo dedicated to?;Photo Employees at NLB Banka Sarajevo are dedicated to creating better footprints.CEO StatementKey Highlights 2022About This ReportNLB Group at aG;{'text': ['creating better footprints'], 'answer_start': [55]};267
2003;What was the merger of NLB Banka beograd with?;he target was set in 2021 before the mergerof NLB Banka Beograd with Komercijalna banka Beograd in April2022, now operated under NLB Komercijalna banka Beograd, and;{'text': ['Komercijalna banka Beograd'], 'answer_start': [69]};268
2005;What does NLB Group strive for?;bsite Financial Reports nlb.si.TransparencyNLB Group strives for transparency of operations whichallows the recipients of information to correctly assess thepo;{'text': ['transparency of operations'], 'answer_start': [65]};269
2007;What is one of the most important building blocks of the Banks governance?;position, operations, risks and management of the Bankand the Group. Transparency of operations by ensuringquality disclosures, frequency of information delivery an;{'text': ['Transparency of operations'], 'answer_start': [69]};270
2008;Where is the Corporate Governance Statement of NLB published?;ment of NLB inaccordance with Article 70 of the ZGD-1 published in theNLB Group Annual Report https//www.nlb.si/financial-reports, as well separately on the ban;{'text': ['theNLB Group Annual Report'], 'answer_start': [67]};271
2009;What is an advisory body that tackles ESG risks and opportunities related to climate?;owers of the Management Board,there are several committees in place.A Sustainability Committee is an advisory body which tacklesESG risks and opportunities related;{'text': ['A Sustainability Committee'], 'answer_start': [68]};272
2010;What unit regularly performs training sessions for NLB Group members?;hem intotheir operations, within 3 months after the adoption inNLB. Sustainability Development unit regularly performstraining sessions for NLB Group members and a;{'text': ['Sustainability Development'], 'answer_start': [68]};273
2026;What are some examples of MS Office tools?;y, especially in the areas Personal Development MS Office tools Excel, Word, PPT, Power BI, etc.;{'text': ['Excel, Word, PPT, Power BI'], 'answer_start': [64]};274
2027;What is a joint effort for employers, workers and society to improve health and well-being in the workplace?;by certified legal entities for OSH and other professionalcompanies.Workplace health promotion is a joint effort for employers,workers and society to improve healt;{'text': ['Workplace health promotion'], 'answer_start': [68]};275
2030;What does the Group have a relatively low exposure to in its corporate clients portfolio?;nd corresponding emissions the Group has a relativelylow exposure to emission-intensive sectors in its corporateclients business. ;{'text': ['emission-intensive sectors'], 'answer_start': [69]};276
2036;What is the focus of NLB Groups socially responsible operations?;NLB Groups socially responsible operations are still focusedon the strong promotion of sports, through support of varioussport associations, larger and smaller sp;{'text': ['strong promotion of sports'], 'answer_start': [67]};277
2048;What is one of the priorities of the Slovenian Development Strategy 2030?;an Development Strategy 2030.One of the priorities is dedicated to a low-carbon circulareconomy. Part of the answer to the challenge of reducinggreenhouse gas emiss;{'text': ['low-carbon circulareconomy'], 'answer_start': [69]};278
2057;What provides guidelines for all brand management segments for brands owned by NLB for the entire NLB Group?;Policy of Brand Management in NLB GroupThe policy provides guidelines for all brand management ;{'text': ['Policy of Brand Management'], 'answer_start': [0]};279
2059;What is NLB focused on embedding in its business processes and reporting?;ategies of financial institutions in theregion, including NLB Group. ESG regulatory developmentsare anticipated changes, and NLB Group is focused onembedding them s;{'text': ['ESG regulatory developments'], 'answer_start': [69]};280
2061;How are all questions and complaints coming through social media addressed?;ing through social media are redirectedto this channel and addressed according to internal rules.;{'text': ['according to internal rules'], 'answer_start': [69]};281
2065;What do all governance bodies responsibly address?;dother ESG considerations.All governance bodiesresponsibly addressESG risks and opportunities.Advisory and collective decision-making bodiesto the Management Bo;{'text': ['ESG risks and opportunities'], 'answer_start': [66]};282
2109;What did the Supervisory Board of NLB assess once a year?;lityAs a rule, the Supervisory Board of NLB shall once a yearassess its composition, performance, potential conflict ofinterest of individual members of the Supervis;{'text': ['its composition, performance'], 'answer_start': [68]};283
2112;What day is related to awareness-raising and training activities?;inked to Regulatory Requirements andCommitments in NLB and NLB GroupNLB Group Sustainability Day  awareness-raising andtraining activitiesThe Supervisory Boards o;{'text': ['NLB Group Sustainability Day'], 'answer_start': [68]};284
2114;Which committee acts as a primarily advisory body of the Management Board when needed?;tionCommittee, Operations and IT Committee.Sustainability CommitteeThe Sustainability Committee acts primarily as an advisorybody of the NLB Management Board, when ;{'text': ['The Sustainability Committee'], 'answer_start': [67]};285
2116;What unit coordinates sustainability in the NLB Group?;Sustainability in NLB Groupis coordinated through theSustainable Development Unit.The Sustainable Development unit makes proposals relatedto the Sus;{'text': ['Sustainable Development Unit'], 'answer_start': [53]};286
2117;What does the Sustainable Development unit make proposals related to?;nt Unit.The Sustainable Development unit makes proposals relatedto the Sustainability Framework, drives and oversees theimplementation of the sustainability-related;{'text': ['the Sustainability Framework'], 'answer_start': [67]};287
