index;LABEL;question;answer;context;answer_start
421;OK;By 2025, what percentage of active digital retail users will be in NLB Group?;55%.;y 2025, the share of activedigital retail users in NLB Groupwill be 55%.NLB Group has committed to digital penetration of55% on the group le;68
422;OK;What percentage of digital penetration on the group level by 2025 will be achieved?;55%;B Groupwill be 55%.NLB Group has committed to digital penetration of55% on the group level by 2025. At the end of 2022, NLBGroup reached 40.;15
423;OK;In what year did NLB participate in the preparation of the banking-sector-wide, unified ESG questionnaire?;2022;rate with different workinggroups on implementing sustainability. In 2022, NLB Groupparticipated in the preparation of the banking-sector-wide;69
425;OK;What is the first reporting date for BASEL Pillar 3 ESG Disclosures?;2022;he NLBGroup has integrated is explained in the Sustainability Report 2022.Basel Pillar 3 ESG Disclosures will be available on the NLB web page;69
427;OK;What is the name of the non-financial reporting directive?;NFRD; Investment Guarantee AgencyNACE Nomenclature of Economic ActivitiesNFRD The Non-Financial Reporting Directive 2014/95/EUNLB d.d. NLB d.d. ;68
428;OK;What is the name of the Non-Financial Reporting Directive?;NFRD; Investment Guarantee AgencyNACE Nomenclature of Economic ActivitiesNFRD The Non-Financial Reporting Directive 2014/95/EUNLB d.d. NLB d.d. ;68
429;OK;What was planted by our employees throughout the region?;trees;fromzero carbon energysourceoperationalcarbonfootprintreductiontrees were plantedby our employeesthroughout theregion.new sustainable;63
430;OK;How many employees took part in training programmes?;82,280;by 10 pointsvs. year 2021, and by 44 points vs. baseline year 2019 82,280 employees took part in 1,690 trainingprogrammes. ;67
431;OK;How many employees took part in training programmes in the baseline year 2019?;82,280;by 10 pointsvs. year 2021, and by 44 points vs. baseline year 2019 82,280 employees took part in 1,690 trainingprogrammes. ;67
432;OK;How many subsidiary banks are in Southeast Europe?;seven;of NLB, the leading and systemicallymost important bank in Slovenia, seven subsidiary banksin Southeast Europe SEE, several companies providi;69
435;OK;How many main pillars of sustainable development are defined within the Sustainability Framework?;three;llars of NLB Group sustainabilityWithin the Sustainability Framework three main pillars of sustainable development are defined whichset the bro;69
436;OK;How many pillars of sustainable business does NLB Skladi pursue?;three;ring an ethical andefficient business operations.NLB Skladi pursues three pillars of sustainable businessCEO StatementKey Highlights 2022Ab;68
446;OK;How many of the members represent the interests of shareholders?;eight;ksSupervisory Board consists of a total of twelve members, ofwhich eight represent the interests of shareholders and fourthe interests of emp;67
447;OK;How many shareholders did the Supervisory Board address in 2022?;eight;ksSupervisory Board consists of a total of twelve members, ofwhich eight represent the interests of shareholders and fourthe interests of emp;67
448;OK;What is the acronym for the Internal Liquidity Adequacy Assessment Process?;ILAAP;ppetite of NLB Group Internal Liquidity AdequacyAssessment Process ILAAP, Internal Capital AdequacyAssessment Process ICAAP in NLB GroupK;67
449;OK;How many new members of the Management Board will be added to the NLB in 2022?;three;nt Board members andheads of control functions, Development plan for threenew members of the Management Board, Training for themembers of the ;69
450;OK;How many decision-making bodies are supported by directors?;three;ve Management Board members are supported bydirectors B-1 level in three decision-making bodies, whichalso discuss sustainability considerati;67
451;OK;How many lines of defence does the internal control system have?;three;Sustainable Development unit as well.Sustainability control through threelines of defenceThe internal control system in NLB Group is implemen;68
452;OK;How many lines of defence are there in the NLB Group?;three;Sustainable Development unit as well.Sustainability control through threelines of defenceThe internal control system in NLB Group is implemen;68
453;OK;What did the bank manage to reduce the use of?;paper;age. Following our initiatives,the bank managed to reduce the use of paper by upto 19% in 2022 compared to the previous year.;69
470;OK;What percentage of legal entities are digitalised in NLB Banka Banja Luka?;85.60%; on the other hand, are the mostdigitalised in NLB Banka Banja Luka 85.60% and NLB BankaPodgorica 84.50%.NLB offers a Digital package and Dig;68
471;OK;How much of the legal entity is digitalised?;85.50%; on the other hand, are the mostdigitalised in NLB Banka Banja Luka 85.60% and NLB BankaPodgorica 84.50%, together 85.50%.NLB offers a Digital package and Dig;115
472;OK;How much of NLBs demands are fulfilled via digital channels?;12.30%;presents 16.2% of totaldemands and in NLB Banka Skopje 15.10%. In NLB 12.30% ofcontracts are concluded via digital channels.NLB Pay is a mobile ;70
473;OK;What percentage of contracts are concluded through digital channels in NLB?;12.30%;presents 16.20% of totaldemands and in NLB Banka Skopje 15.10%. In NLB 12.30% ofcontracts are concluded via digital channels.NLB Pay is a mobile ;71
474;OK;What percentage of NLB clients are active users?;28.80%; NLBand NLB Group members, together having 102,902 clients,of which 28.80% are active users. ;68
475;OK;What is the name of NLBs first and only app for older people?;Magda;th their firstand only app exclusively made for older people, namedMagda. Magda is full of useful information tailormadefor seniors. Cyberse;67
476;OK;What is the last pillar of cooperation between our mobile branch NLB BankGo and their mobile classroom?;Magda;th their firstand only app exclusively made for older people, namedMagda. Magda is full of useful information tailormadefor seniors. Cyberse;67
477;OK;How many different sets of activities were provided in Sarajevo?;three;hey created special guides on how to makepayments, while in Sarajevo three different sets of activitieswere provided  Digital Corner e-bankin;69
478;OK;How many kilometres did the bank and go travel on the road in total?;45,000;sent at specially arranged events, clocking up in totalapproximately 45,000 kilometres on the road.;69
479;OK;How many modules did the 2022 ECB Climate Stress test exercise consist of?;three;was includedinto 2022 ECB Climate Stress test exercise, consisted of threemodules. ;69
480;OK;How many modules were included in the 2022 ECB Climate Stress test exercise?;three;was includedinto 2022 ECB Climate Stress test exercise, consisted of threemodules. ;69
483;OK;How many levels is ESG risk management considered?;three;cial impacts.According to ESMS, ESG risk management is considered onthree levels having a low impact on the environment and having thepoten;68
484;OK;How many levels is a low impact on the environment considered?;three;cial impacts.According to ESMS, ESG risk management is considered onthree levels having a low impact on the environment and having thepoten;68
486;OK;How much new green loan volume did NLB Group generate for micro and corporate clients?;166,9;ew green loan volume for micro and corporate clients in the amount of 166,9The purpose of financing was to support wind farms, solar projects, b;70
487;OK;What was the amount of the financing for micro and corporate clients?;166,9;ew green loan volume for micro and corporate clients in the amount of 166,9The purpose of financing was to support wind farms, solar projects, bi;70
489;OK;When did NLB Group join Net-Zero Banking Alliance?;May 2022;dcommitments of Net-Zero Banking Alliance, which NLB Groupjoined in May 2022.Therefore, this chapter does not include a detailed descriptionat t;68
543;OK;How many members make up the Banks Supervisory Board?;twelve;d sustainability. The BanksSupervisory Board consists of a total of twelve members, ofwhich eight represent the interests of shareholders and f;68
549;OK;What was the turnover rate in NLB Group in 2022 compared to 2021?;14.5%.;ageIn 2022, the overall turnover of employees in NLB Group stood at 14.5%. The graph shows furtherdistribution of this share by gender and age.;68
550;OK;In 2022, what was the turnover of NLB Komercialna banka and N Banka?;14.5%.;ageIn 2022, the overall turnover of employees in NLB Group stood at 14.5%. The graph shows furtherdistribution of this share by gender and age.;68
551;OK;What was the turnover of employee s in NLB Group in 2022?;14.5%.;ageIn 2022, the overall turnover of employees in NLB Group stood at 14.5%. The graph shows furtherdistribution of this share by gender and age.;68
559;OK;How many NLB and NLB Group members together have?;102,902;s ATMs. It is available in NLBand NLB Group members, together having 102,902 clients,of which 28.8% are active users. ;69
560;OK;How much of all card transactions in NLB go through NLB Pay?;1.86%;In NLB 1.86% of all cardtransactions go through NLB Pay, while in NLB Prishtina t;7
561;OK;What is NLB Prishtinas percentage of card transactions?;2.95%.;ough NLB Pay, while in NLB Prishtina thepercentage is even higher at 2.95%.CEO StatementKey Highlights 2022About This ReportNLB Group at aGl;69
566;OK;Owners of buildings who do not sell or rent out their properties do not need what?;an EPC;of buildings who do not sell or rent out their properties donot need an EPC. ;69
583;OK;In 2022, how many hours were recorded in education about sustainability topics?;1452,8;In 2022, NLB d.d. recorded 1452,8 hours of education aboutsustainability topics. In NLB d.d. we also p;27
598;OK;What is equipped with NFC technology so clients can pay at all POS terminals that allow contactless payment and withdraw cash at contactless ATMs?;NLB Pay; 15.1%. In NLB 12.3% ofcontracts are concluded via digital channels.NLB Pay is a mobile wallet that enables contactless paymentswith smartphones;68
599;OK;What is a key enabler of the transition towards a low-carbon economy and society?;Finance;ityloss PollutionContentsSustainable Finance and Risk ManagementFinance is a key enabler of the transitiontowards a low-carbon economy and s;37
608;OK;The Bank supported the sustainable mobility project MBajk in what city?;Maribor;lovenia. The Bank supported the sustainablemobility project MBajk in Maribor, which provides anefficient and user-friendly system with 200 bicycl;69
1001;OK;What does the report accurately and completely represent?;GHGemissions;s GHG statements the report accurately and completely represents GHGemissions Scope 1, 2, and 3 limited and without Category15, financed emission;65
1002;OK;Optimization of what in buildings?;space-demand;ize heating/lighting use.Divestment of real estates.Optimization of space-demand in buildings.;68
1003;OK;What award did NLB d.d. receive for the seventh year in a row?;Top Employer;l knowledge and contributions to the HR field,NLB d.d. received the Top Employer award for the seventhyear in a row by the recognised Dutch Top Empl;68
1006;OK;What must an employee do if a danger to their safety and health is identified?;stop working;he safety and health of the employee isidentified, the employee must stop working. He/She must informa superior, who must take care to eliminate the d;69
1007;OK;What are the deadlines for informing employees and their representatives prior to the implementation of significant operational changes that could substantially affect them?;8 to 30 days;toperational changes that could substantially affect them rangefrom 8 to 30 days, subject to the nature of operational change.At NLB Komercijalna ban;68
1009;OK;The policy sets out the conditions for the allocation and payment of the variable part of what?;remuneration;the conditions for the allocation and payment of the variablepart of remuneration.The starting point for setting goals for employees is theimplementa;69
1010;OK;What did the Group assess as more of a material than a physical risk?;fossil fuels;re are certain industries which are directly or indirectly related to fossil fuels and such industries are consideredriskier. The level of transition;70
1013;OK;What does sustainable finance integrate into its business and investment decisions for the lasting benefit of Group clients?;ESG criteria;nternal governance arrangements. Thus, sustainable financeintegrates ESG criteria into Groups business and investmentdecisions for the lasting benefi;69
1014;OK;What is not determined as material risk?;Chronic risk;Chronic risk is not determined asmaterial risk. Transition risks arise already on;0
1016;OK;What does NLB Group aim to achieve in 2022?;Net-Zerogoal;rics and TargetsOur journey to net-zeroNLB Group aimsto achieve theNet-ZerogoalCEO StatementKey Highlights 2022About This ReportNLB Group at aGl;67
1018;OK;What will exposures that are not fully supported by published Taxonomy reporting be assigned?;a null value;t for specified use ofproceeds exposures, therefore will be assigned a null valuewhen it comes to inclusion in estimation.CEO StatementKey Highlight;69
1019;OK;What is one in ten deaths in the Western Balkans?;polluted air;tion iseven more alarming, as according to some scientific findings,polluted air in this area causes one in ten deaths. The projectis led by Slovenia;68
1030;OK;Transition risk and physical risk are subcategories of what?;climate risk;onmentalrisk. Transition risk and physical risk are subcategories of climate risk.The Group conductsa materiality assessment, as part of its overall r;69
1031;OK;What does ESMS apply to?;transactions;plemented Environmental and Social Management System ESMS applies totransactions with the greatest potential for significant negative environmental an;68
1032;OK;What should banks disclose for their lending and other financial intermediary business activities?;GHGemissions;ing were also set. EUR 785 million by 2030d Banks should disclose GHGemissions for their lending andother financial intermediarybusiness activitie;66
1037;OK;How many significant impact areas did your bank prioritize?;at least two;tpositive and negative impact areas has your bank identified?Which at least two significant impact areas did you prioritizeto pursue your target se;67
1043;OK;How much sustainable corporate financing did we create?;EUR 166,9 mio;nd starteddeveloping the comprehensive NLB Group Net Zero Strategy EUR 166,9 mio of sustainable corporate financing, andEUR 53 mioof green loans to p;67
1045;OK;What was the record high profit generated by NLB in the 2022 financial year?;446.9 million;th successful operations, NLB Group generated a recordhigh profit of 446.9 million in 2022, with the acquisitionof N Banka in March significantly influ;69
1048;OK;By 2022, how much of new corporate financing has been implemented?;166.9 million;Target achivements in 2022By year 2022 the NLB Group has implemented 166.9 million ofnew sustainable corporate financing.Publicly announced target by ;69
1050;OK;What is one of the key responsibilities of the Sustainability unit?;Communication;tions, and the media.Stakeholder engagement onsustainability topicsCommunication and the nurturing of good relations withinternal and external stakeh;67
1054;OK;Who has the influence over sustainability-related strategic objectives?;The Committee;dESMS Officers of NLB Group are permanently invited to themeetings.The Committee oversees the integration of the ESG factors intothe NLB d.d. and NLB;67
1056;OK;What is the part of the variable remuneration that depends on performance against defined goals?;severance pay;ariable remuneration, depending on performance againstdefined goals, severance pay is also the part of variable renumeration. 2 For more informati;69
1057;OK;What is subject to meeting financial and non- financial goals?;variable part;s holiday allowance, jubilee award, solidarity assistance,etc.. The variable part is subject to meeting financial and non-financial goals.;68
1058;OK;What is constantly tested and upgraded in the Group?;Cybersecurity;Cybersecurity in the Group is constantly tested and upgraded bysecurity assessment;0
1062;OK;Why was NLB unable to provide baseline 2019 data?;data scarcity;ears to provide baseline 2019 data. The reasons for this decisionare data scarcity, and low impact of N Banka due to size, employee number and faciliti;69
1063;OK;What does NLB Group Fleet aim to be?;zero-emission;ransition and company car user acceptance,NLB Group Fleetaims to bezero-emission Transport demand management pre-prepared solutionsfor different s;67
1065;OK;How many employees were included in focus groups across the entire Group?;more than 400;conducted internal and external research and interviews,and included more than 400 employees in focus groupsacross the entire Group. With this feedback;69
1069;OK;NLB Group will strive to reduce the pay gaps by balancing gender representation by what?;job positions;duce the pay gaps by progressively balancing gender representation by job positionsand by pay quartiles according to the overall gender structure of the;70
1071;OK;What title goes to a branch where employees work together?;Golden Branch;experience, the GoldenBranch competition, was established. The title Golden Branchgoes to a branch where employees work together, wherecustomers are r;69
1072;OK;Settlement on all levels of the process, settlement of satisfactory reimbursement requests in what way?;a unified way; of the process, settlement ofsatisfactory reimbursement requests in a unified way. Registration of complaints such as to enable contentanalysis with;69
1073;OK;What is the largest share of complaints in the Slovenian banking system?;card services;tisfaction surveys.Similarly to the entire Slovenian banking system, card serviceshave the largest share in the total number of complaints,whereas the;69
1076;OK;What scale does the Group use?;5 level scale;th actual or proxy emissions data. Here, too, theGroup uses the same 5 level scale as described above. ;69
1077;OK;The level of transition risk does not depend on the industry itself but on what?;the companies;ansition risk does not depend only on the industry itself but also on the companies ESG awareness, strategy, efficiency,etc.;70
1079;OK;The real estate portfolio reveal that some losses could occur due to what?;physical risk; the real estate portfolio reveal that some losses could occur due to physical risk, though with no significantimpact on the Groups performance.;70
1082;OK;What are absolute emissions and emissions intensity in line with?;best practice;ly publishing absolute emissions and emissionsintensity in line with best practice and, within a year ofsetting targets, disclosing progress against a ;69
1083;OK;How many sponsorships, donations, partnerships, project and other initiatives were executed in 2022?;More than 100;ctive is to increase the share of CSR activitiesthat pursue UN SDGs.More than 100 sponsorships, donations, partnerships, projectand other initiatives ;68
1084;OK;How many seedlings did NLB Banka Skopje donate to the park forest?;more than 300;es andclearing the burned terrain, which resulted in the donationof more than 300 seedlings for this park forest.SDG 15  Life on Land In the volu;68
1085;OK;What is an inspiration for all of society?;youngathletes;pport of varioussport associations, larger and smaller sports clubs, youngathletes, whose talent and sportsmanship are an inspirationfor all of society;69
1087;OK;Who will become a central supporter and partner for art and artists in our region?;The NLB Group;Southeast Europe, as well as designa new art collection and gallery.The NLB Group will thus become a central supporterand partner for art and artists ;68
1088;OK;What is a key highlight of the 2022 report?;CEO Statement;n sustainability related topicsin the Sustainability Report, page 35CEO StatementKey Highlights 2022About This ReportNLB Group at aGlanceSustainab;68
1089;OK;What is a key highlight of the 2022 report?;CEO Statement;ns in energy requirementsof products and servicesYes Not applicableCEO StatementKey Highlights 2022About This ReportNLB Group at aGlanceSustainab;67
1094;OK;What does NLB Group operate in line with?;ILO standards;Report, page 392. Please note NLB Group operations are in line with ILO standards relatedto abolition of child labor, they adhere to national legislat;68
1095;OK;What are NLBs operations in line with?;ILO standards;Please note NLB Group operations are in line with ILO standards relatedto elimination of forced labor, they adhere to national legis;50
1628;OK;What does RM stand for?;Relationship Manager;ks.In the process of the transaction approval, engagement ofthe RM Relationship Manager is essential to collecting ESGdata at the KYC stage. After the chec;67
2002;OK;What are the employees at NLB Banka Sarajevo dedicated to?;creating better footprints;Photo Employees at NLB Banka Sarajevo are dedicated to creating better footprints.CEO StatementKey Highlights 2022About This ReportNLB Group at aG;55
2003;OK;What was the merger of NLB Banka beograd with?;Komercijalna banka Beograd;he target was set in 2021 before the mergerof NLB Banka Beograd with Komercijalna banka Beograd in April2022, now operated under NLB Komercijalna banka Beograd, and;69
2005;OK;What does NLB Group strive for?;transparency of operations;bsite Financial Reports nlb.si.TransparencyNLB Group strives for transparency of operations whichallows the recipients of information to correctly assess thepo;65
2007;OK;What is one of the most important building blocks of the Banks governance?;Transparency of operations;position, operations, risks and management of the Bankand the Group. Transparency of operations by ensuringquality disclosures, frequency of information delivery an;69
2008;OK;Where is the Corporate Governance Statement of NLB published?;theNLB Group Annual Report;ment of NLB inaccordance with Article 70 of the ZGD-1 published in theNLB Group Annual Report https//www.nlb.si/financial-reports, as well separately on the ban;67
2009;OK;What is an advisory body that tackles ESG risks and opportunities related to climate?;A Sustainability Committee;owers of the Management Board,there are several committees in place.A Sustainability Committee is an advisory body which tacklesESG risks and opportunities related;68
2010;OK;What unit regularly performs training sessions for NLB Group members?;Sustainability Development;hem intotheir operations, within 3 months after the adoption inNLB. Sustainability Development unit regularly performstraining sessions for NLB Group members and a;68
2026;OK;What are some examples of MS Office tools?;Excel, Word, PPT, Power BI;y, especially in the areas Personal Development MS Office tools Excel, Word, PPT, Power BI, etc.;64
2027;OK;What is a joint effort for employers, workers and society to improve health and well-being in the workplace?;Workplace health promotion;by certified legal entities for OSH and other professionalcompanies.Workplace health promotion is a joint effort for employers,workers and society to improve healt;68
2030;OK;What does the Group have a relatively low exposure to in its corporate clients portfolio?;emission-intensive sectors;nd corresponding emissions the Group has a relativelylow exposure to emission-intensive sectors in its corporateclients business. ;69
2036;OK;What is the focus of NLB Groups socially responsible operations?;strong promotion of sports;NLB Groups socially responsible operations are still focusedon the strong promotion of sports, through support of varioussport associations, larger and smaller sp;67
2048;OK;What is one of the priorities of the Slovenian Development Strategy 2030?;low-carbon circulareconomy;an Development Strategy 2030.One of the priorities is dedicated to a low-carbon circulareconomy. Part of the answer to the challenge of reducinggreenhouse gas emiss;69
2057;OK;What provides guidelines for all brand management segments for brands owned by NLB for the entire NLB Group?;Policy of Brand Management;Policy of Brand Management in NLB GroupThe policy provides guidelines for all brand management ;0
2059;OK;What is NLB focused on embedding in its business processes and reporting?;ESG regulatory developments;ategies of financial institutions in theregion, including NLB Group. ESG regulatory developmentsare anticipated changes, and NLB Group is focused onembedding them s;69
2061;OK;How are all questions and complaints coming through social media addressed?;according to internal rules;ing through social media are redirectedto this channel and addressed according to internal rules.;69
2065;OK;What do all governance bodies responsibly address?;ESG risks and opportunities;dother ESG considerations.All governance bodiesresponsibly addressESG risks and opportunities.Advisory and collective decision-making bodiesto the Management Bo;66
2109;OK;What did the Supervisory Board of NLB assess once a year?;its composition, performance;lityAs a rule, the Supervisory Board of NLB shall once a yearassess its composition, performance, potential conflict ofinterest of individual members of the Supervis;68
2112;OK;What day is related to awareness-raising and training activities?;NLB Group Sustainability Day;inked to Regulatory Requirements andCommitments in NLB and NLB GroupNLB Group Sustainability Day  awareness-raising andtraining activitiesThe Supervisory Boards o;68
2114;OK;Which committee acts as a primarily advisory body of the Management Board when needed?;The Sustainability Committee;tionCommittee, Operations and IT Committee.Sustainability CommitteeThe Sustainability Committee acts primarily as an advisorybody of the NLB Management Board, when ;67
2116;OK;What unit coordinates sustainability in the NLB Group?;Sustainable Development Unit;Sustainability in NLB Groupis coordinated through theSustainable Development Unit.The Sustainable Development unit makes proposals relatedto the Sus;53
2117;OK;What does the Sustainable Development unit make proposals related to?;the Sustainability Framework;nt Unit.The Sustainable Development unit makes proposals relatedto the Sustainability Framework, drives and oversees theimplementation of the sustainability-related;67
2118;OK;Who defines rules about the risk appetite, risk strategy, other risk policies and guidelines?;The risk management function;rols and supervision over theoperation of the first line of defence.The risk management function defines rules about the riskappetite, risk strategy, other risk poli;68
2119;OK;What is responsible for the supervision of the correct implementation?;business compliance function;ther enhance risk steering and mitigationwithin the whole Group.The business compliance function is responsible for thesupervision of the correct implementation and ;68
2120;OK;What are the financial goals of NLB Group MB members incl.?;Strategy and Risk Management;. For more information on risk management please refer to Chapter Strategy and Risk Management Section Incorporation of ESG risks in creditapproval process and co;66
2121;OK;In 2022, ESG goals were considered as part of what?;annualperformance evaluation;include also ESG goals.In 2022, ESG goals were considered as part of annualperformance evaluation, as followsa NLBs CEO 10% weightingb Other members of NLBs Ma;69
2123;OK;What does the NLB Supervisory Board make an annual self-assessment about?;its composition, performance;tion, the NLB Supervisory Board makes an annualself-assessment about its composition, performance,potential conflict of interest of individual members of theSupervis;69
2124;OK;What is the NLB group committed to?;paperless businessoperations;y partnering professional associations.The NLB Group is committed to paperless businessoperations. Keeping in mind the high pricethe environment pays to sustain paper;69
2127;OK;What have the compliance functions carried out in connection with this area?;awareness-raising activities;due diligence processes. The compliance functions have carried out awareness-raising activities in connection with this area and havestrengthened the approach to ma;67
2128;OK;What activities were carried out in connection with this area?;awareness-raising activities;due diligence processes. The compliance functions have carried out awareness-raising activities in connection with this area and havestrengthened the approach to ma;67
2129;OK;What does NLB cooperate with for obtaining the relevant explanations and information?;the Financial Administration;itted reliefs and exemptions from the tax base. NLB cooperates with the Financial Administration forobtaining the relevant explanations and information forthe provi;68
2130;OK;What is CBCR for the 2022?;Country-by-Country Reporting; from Constituent Entities in Slovenia amounts to EUR 2,560 thousand.Country-by-Country Reporting CBCR for the 2022 values in EUR thousandsManagement of tax conce;69
2132;OK;Why did we start replacing water taps without sensors?;To reduce water consump-tion; waste containers and its volumes inbusiness buildings and branches. To reduce water consump-tion, we for example, started to replace water taps withoutsensors for wa;69
2163;OK;What must all employees be aware of and respect?;Code of Conduct of NLB Group;les of this Policy.c all employees must be aware of and respect the Code of Conduct of NLB Group and the rules and their obligations hereunder. The employees mustimm;68
2170;OK;What topics are regularly addressed on sessions of the Supervisory Board and all its five committees?;Sustainability-related topics;managementbodies, which also include knowledge about sustainability.Sustainability-related topics are regularly addressedon sessions of the Supervisory Board and all ;68
2172;OK;What defines expectations and determines standards expected in our relationship towards other stakeholders?;The NLB Group Code of Conduct;Ethical considerations andhuman rightsThe NLB Group Code of Conduct represents fundamentalprinciples, values and rules and stipulates th;38
2173;OK;What is prepared according to Article 17 of the Regulation on internal governance arrangements?;NLB Risk Management Statement;ely on the banks webpage and onSEOnet https//seonet.ljse.si/  NLB Risk Management Statement, prepared accordingto Article 17 of the Regulation on internal gover;62
2174;OK;What is published in the NLB Group Annual Report https//www.nlb.si/financial-reports?;NLB Risk Management Statement;ely on the banks webpage and onSEOnet https//seonet.ljse.si/  NLB Risk Management Statement, prepared accordingto Article 17 of the Regulation on internal gover;62
2176;OK;How does the Management Board manage the Bank and make business decisions?;independently andautonomously;k. The Management Board manages theBank and makes business decisions independently andautonomously, adopts strategies, ensures an adequate riskcontrol, and acts with t;69
2206;OK;What is the purpose of the NLB Green Partner Loan?;reducing the carbon footprint; in the energy efficiency of business buildings3. NLB Green Loan for reducing the carbon footprint4. NLB Green Housing Loan5. ;69
2209;OK;At the end of 2022, what was conducted on the NLB Group level?;the internal ESG audit review;At the end of 2022, the internal ESG audit review wasconducted on the NLB Group level. The review is expected tobe co;20
2211;OK;What sets out the rules that every employee in NLB Group must understand and respect?;The NLB Group Code of Conduct;ustomers, employees and other stakeholders.NLB Group Code of ConductThe NLB Group Code of Conduct represents the values and fundamental principles of conduct sets out;68
2212;OK;What defines the procedure for preparing a fit and proper assessment of members of/candidates for the Banks Management Board or Supervisory Board?;Joint ESMA and EBA Guidelines;roper assessments of the EuropeanCentral Bank in accordance with the Joint ESMA and EBA Guidelines on the assessment of the suitability of members of the management bod;69
2213;OK;What does the Guide to fit and proper assessments of the European Central Bank comply with?;Joint ESMA and EBA Guidelines;roper assessments of the EuropeanCentral Bank in accordance with the Joint ESMA and EBA Guidelines on the assessment of the suitability of members of the management bod;69
2214;OK;The Guide to fit and proper assessments of the European Central Bank is based on what?;Joint ESMA and EBA Guidelines;roperassessments of the European Central Bank in accordance with the Joint ESMA and EBA Guidelines on the assessment of the suitability of membersof the management bod;69
2259;OK;What does NLB Group align its core strategy, decision-making, lending and investment with?;UN SustainableDevelopment Goals; its core strategy, decision-making, lending and investment with the UN SustainableDevelopment Goals.Based on these principles and to ensure successfulmanagement of the;69
2274;OK;What is the name of the school of economics and business of the University of Ljubljana?;School ofEconomics and Business;ed challenges for youngprofessionals in partnership with AmCham, the School ofEconomics and Business of the University of Ljubljana andIEDC  Bled School of Management, ;69
2275;OK;What are employees who work on higher risk positions provided with?;a special or additionaltraining; a rule, employees who work onhigher risk position are provided with a special or additionaltraining for their specific jobs or tasks. Trainings are providedby certified;69
2276;OK;At NLB Komercijalna banka Beograd the way the bank and trade union cooperate is governed by what?;CollectiveAgreement of the Bank;he way in which thebank and trade union cooperate is governed by the CollectiveAgreement of the Bank. ;69
2278;OK;How does the Bank implement the principles of the Diversity Policy?;through policies and procedures; operates.The Bank implements the principles of the Diversity Policy through policies and procedures, namely the Policy on the Selection ofSuitable Candidates for Member;69
2281;OK;What is the purpose of the Customer Experience Survey?;to identify areasof improvement;The purpose is to identify areasof improvement or areas where we excel compared to ourcompetitors, allowing us to m;15
2313;OK;What is the NZBA?;UNEP FI Net Zero BankingAlliance;By joining the UNEP FI Net Zero BankingAlliance NZBA, which aims to harmonise credit andinvestment portfolios by r;15
2317;OK;What is the focus of the Treasury operations?;Green bond framework development;l flows in the direction ofgreen transition. Treasury operations Green bond framework development ESG score  ratingContribution to society Active contribution to;65
2334;OK;What is the GHG protocol?;guidance for corporate reporting;roved that the report has been prepared according to GHG protocolguidance for corporate reporting on Scope 1, 2, and 3GHG emissions and verified according to require;65
2393;OK;What are the two subcategories of climate risk in NLB Group?;transition risk and physical risk;In NLB Group, we consider transition risk and physical risk as subcategories of climate risk.Both categories are then further di;26
2402;OK;What conduct does NLB expect from all its suppliers?;ethical, social and environmental;ransparentprocurement procedure including the minimum principles of ethical, social and environmental conduct that NLB Group expects from all its suppliersof goods and s;68
2425;OK;What is covered by insurance?;many losses caused byphysical risk;on sovereign debt. Further on, as supported by insurance statistics, many losses caused byphysical risk are covered by insurance which also limits the impact of these risks ;69
2439;OK;What is each employee responsible to reject with zero tolerance?;any form of corruption and bribery; the following rulesa each employee shall be responsible to reject any form of corruption and bribery with zero tolerance, and to immediately report any identifiedsuspect;67
2510;OK;What is the impact of N Banka to total carbon footprint emissions?;less than 2% of data in baseline year;acilities to total carbon footprintemissions, which is estimated to less than 2% of data in baseline year.;68
2611;OK;What does ESMS stand for?;Environmental andSocial ManagementSystem; GoalsImplementationof sustainabilityin NLB Groupsbusiness modelEnvironmental andSocial ManagementSystem ESMS part of a comprehensive riskmanagement system within NLB Gr;64
2626;OK;What is one of the Banks priority activities?;Care for employees and their development;ill using it, they shall return to work in 2023.Employee developmentCare for employees and their development is one of the Bankspriority activities. ;68
2628;OK;What are the three types of talent we are implementing?;managerial, professional or young talent;ting a common talent management strategy, payingspecial attention to managerial, professional or young talentand successors in management positions. ;69
2632;OK;NLB Pay is a mobile wallet that enables contactless payments with what?;smartphones equipped with NFC technology;ls.NLB Pay is a mobile wallet that enables contactless paymentswith smartphones equipped with NFC technology, so clientscan pay at all POS terminals that allow contactless payme;68
2639;OK;What is ESMA?;European Securities and MarketsAuthority;elated Financial Disclosures, GRI, EuropeanBanking Authority EBA, European Securities and MarketsAuthority ESMA.Any applicable regulatory reporting requirements onsocial ri;66
2640;OK;What is the acronym for the European Social Market Authority?;European Securities and MarketsAuthority;elated Financial Disclosures, GRI, EuropeanBanking Authority EBA, European Securities and MarketsAuthority ESMA.Any applicable regulatory reporting requirements onsocial ri;66
2641;OK;What does ESMA stand for?;European Securities and MarketsAuthority;elated Financial Disclosures, GRI, EuropeanBanking Authority EBA, European Securities and MarketsAuthority ESMA.Any applicable regulatory reporting requirements onsocial ri;66
2652;OK;What did ESMS stand for?;Environmental and SocialManagement System;B GroupSustainability Frameworkprepared and published onwww.nlb.siEnvironmental and SocialManagement System ESMSestablishedNLB Group SustainabilityReport additional report;66
2670;OK;What does CSRD stand for?;Corporate Social Responsibility Directive;risks and opportunities with respect to TCFD, aswell as the upcoming Corporate Social Responsibility Directive CSRD.;69
