LABEL;question;answer;context
OK;What is the name of the Social GRI Topic?;GRI Disclosure Value Comment;SocialGRI Topic GRI Disclosure Value CommentGRI 401  Employment 401-1 New employee hiresand employee turnover
OK;How many new employees were employed by the Republic of Slovenia in 2020?;94; In total, 94 new employeesemployed by the Republic of Slovenia.NLB Group In tot
OK;What percentage of new hires were hired from local community?;97%;Republic of Slovenia.NLB Group In total, 307 newemployees in 2020.97% of new hires were hiredfrom local community. 42% weremen and 58% we
OK;How many employees departed from NLB d.d. in 2020?;162;the reporting period,by age group, gender and region.NLB In total, 162 employeesdeparted from NLB d.d. in 2020.
OK;How many employees departed from NLB Group in 2020?;382;NLB Group In total, 382 employeesdeparted from NLB Group in 2020.In total, 162 employees de
OK;How many employees departed from NLB Group significant members in 2020?;382;NLB Group In total, 382 employeesdeparted from NLB Groupsignificant members in 2020.50.3%
OK;What are the rights of all employees determined by?;law, collectiveagreements and internal regulations;All employees have rightsas they are determined by law, collectiveagreements and internal regulations.401-3 Parental leavea. Total number of employees thatwere entit
OK;What is the number of employees covered by an occupational health and safety management system?;100%; is controlledby the organisation, who arecovered by such a system100% of all employeesb. the number and percentage of allemployees and 
OK;What percentage of all employees are covered by a system that has been internally audited?;100%; is controlledby the organisation, who arecovered by such a system100% of all employeesb. the number and percentage of allemployees and 
OK;What percentage of all employees have been internally audited?;100%;n, who arecovered by such a system thathas been internally audited100% of all employeesc. the number and percentage of allemployees and 
ok;How many employees participated in standard internal training programs in 2020?;4,769;NLB Group 18 hours peremployee in the 2020NLB Group In 2020, 4,769 employeesparticipated in standard internaltraining programs and 2,0
OK;How many people are on the management board and supervisory board?;72;t Boards and SupervisoryBoards in significant NLB Group membershave 72 members, 50 male and females.Age groupunder 30 years old,31-50 ye
ok;What does NLB have a policy of zero tolerance to?;anyform of discrimination and violence;onand corrective actions takenNLB has a policy of zero tolerance to anyform of discrimination and violence.
OK;What is the share capital of the bank?;EUR 340 million;anka the New Member of theNLB Group FamilyWith a share capital of EUR 340 million and total capital amounting toEUR 655 million, we are one of the lea
OK;How much capital does the bank have?;EUR 340 million;anka the New Member of theNLB Group FamilyWith a share capital of EUR 340 million and total capital amounting toEUR 655 million, we are one of the lea
OK;How many clients does Komercijalna banka have?;1.4 million;Komercijalna banka has a total of 1.4 million clients, serviced by a bankingteam of nearly 3,000 employees, traine
OK;How many employees are on the Komercijna Banka banking team?;3,000; a total of 1.4 million clients, serviced by a bankingteam of nearly 3,000 employees, trained for all banking operations.We are one of the lead
OK;What percentage of Komercijalna Banka a.d. Beograd KB did NLB acquire at the end of 2020?;83.23%; of work and creativity.With the completion of the acquisition of an 83.23% ordinary shareholding inKomercijalna Banka a.d. Beograd KB at the 
OK;When was Banka a.d. Beograd acquired?;2020;ry shareholding inKomercijalna Banka a.d. Beograd KB at the end of 2020, NLB has achieved a final milestonein this important transaction to 
OK;What is the name of the financial institution that NLB acquired in 2020?;Komercijalna Banka a.d. Beograd;e completion of the acquisition of an 83.23% ordinary shareholding inKomercijalna Banka a.d. Beograd KB at the end of 2020, NLB has achieved a final milestonein this i
OK;When was Komercijalna Banka acquired?;30th December 2020;in our home, the SEE region.Since Komercijalna Banka was acquired on 30th December 2020, we have providedtheir non-financial statement as a separate chapter
ok;In what year do we plan to fully integrate Komercijalna banka into our sustainability program?;2021;In 2021, we plan to fully integrate Komercijalna banka into our sustainabilit
