LABEL;question;answer;context
OK;What did the bank use to mitigate the consequences of the Covid-19 pandemic?;CSR financial budget;Regulation  Governance GRI Standards 2021 RoadmapMost of the banks CSR financial budget was used to mitigate theconsequences of the Covid-19 pandemic. Since
;Since what date have medical teams been working around the clock to save the lives of patients infected with the Corona virus?;Mar-20;was used to mitigate theconsequences of the Covid-19 pandemic. Since March 2020, medical teamshave been working around the clock to save the lives o
;What has spread rapidly to all regions where the NLB Group operates?;Corona virus;king around the clock to save the lives of patients infected withthe Corona virus, which has spread rapidly to all regions where the NLBGroup operates
;What did NLB d.d. do immediately after the announcement of the pandemic?;selectedclients;dclients1 new client, as focus was on existing onesselectedclientsselectedclientsselectedclientsselectedclients14 NLB Group Sustainability Report 
;How much did the NLB Banka Prishtina donate to the University Clinical Centres in Maribor and Ljubljana?;EUR 50,000;ty Clinical Centres in Maribor and Ljubljana witha donation totaling EUR 50,000. The financial support to the Slovenianhealth sector continued durin
;How many respirators did the University Hospital in Kosovo receive?;10;anka Prishtina helped the University Hospital in Kosovo bypurchasing 10 respirators and by donating EUR 20,000 for other medicalcare, which 
;How many respirators did the University Hospital in Kosovo purchase?;10;anka Prishtina helped the University Hospital in Kosovo bypurchasing 10 respirators and by donating EUR 20,000 for other medicalcare, which 
;How much did the university hospital donate to other medical care?;EUR 20,000;rsity Hospital in Kosovo bypurchasing 10 respirators and by donating EUR 20,000 for other medicalcare, which significantly helped to limit the healt
;How much money did the NLB Banka Banja Luka donate to the Solidarity Fund of Republika Srpska?;EUR 51,000;TheNLB Banka Banja Luka donated more than EUR 51,000 to the Solidarity Fundof Republika Srpska as a support to healthcare
;How much was the amount of money donated?;more than EUR 51,000;TheNLB Banka Banja Luka donated more than EUR 51,000 to the Solidarity Fundof Republika Srpska as a support to healthcare
;What was the purpose of the donation?;as a support to healthcare institutions and companies;nated more than EUR 51,000 to the Solidarity Fundof Republika Srpska as a support to healthcare institutions and companies inRepublika Srpska. It also supported purchase of respirators for th
;What did the NLB Banka Banja Luka try to do?;provide as much support as possible;embers of the Banks Association ofBIH, NLB Banka Banja Luka tried to provide as much support as possibleto Republika Srpska for easing Covid-19 epidemic. The NLB Banka Beogr
;What was the name of the organization that donated laboratory material to the Institute of Virology and Vaccines?;NLB Banka Beograd;ort as possibleto Republika Srpska for easing Covid-19 epidemic. The NLB Banka Beogradwas a donor of laboratory material for the Institute of Virology and 
;What institute was the only to perform Coronavirus testing for the whole of Serbia?;Institute of Virology and Vaccines;mic. The NLB Banka Beogradwas a donor of laboratory material for the Institute of Virology and Vaccines,which was at the beginning of the pandemic the only institute perfor
;What was the name of the institute?;Institute of Virology and Vaccines;mic. The NLB Banka Beogradwas a donor of laboratory material for the Institute of Virology and Vaccines,which was at the beginning of the pandemic the only institute perfor
;How many medical beds did the NLB AD Banka Skopje provide to the University Clinic for Infectious Diseases and Febrile Conditions?;10;The NLB AD Banka Skopje provided10 medical beds for intensive care patients in the total amount of EUR2
;How much money was donated to the Ministry of Health of the Republic of Northern Macedonia to help manage the consequences of COVID-19?;EUR 30,000;sity Clinic for Infectious Diseases and Febrile Conditions.Moreover, EUR 30,000 has been donated to the Ministry of Health ofthe Republic of Norther
;How much money did the NLB Banka Podgorica donate to the National Association of Healthcare Professionals?;EUR 40,000;lp managing consequences ofCOVID-19. The NLB Banka Podgorica donated EUR 40,000 to the NationalAssociation of Healthcare Professionals, and EUR 4,00
;How much did the Clinical Centre of Montenegro donate as a support for purchasing additional respirators?;EUR 4,000;R 40,000 to the NationalAssociation of Healthcare Professionals, and EUR 4,000 to the ClinicalCentre of Montenegro as a support for purchasing addi
;The employees of what bank donated 400 packages of food and sanitation materials?;NLB Banka Podgorica;a support for purchasing additional respirators.The employees of the NLB Banka Podgorica donated 400 packages of foodand sanitation materials to children fro
;How many packages of food and sanitation materials did Banka Podgorica donate to children from social disadvantaged families?;400;itional respirators.The employees of the NLB Banka Podgorica donated 400 packages of foodand sanitation materials to children from socially d
;Who donated a hemodialysis machine to the Hemodialysis Centre in Gorade?;Banka Sarajevo;NLBBanka Sarajevo donated a hemodialysis machine to the Hemodialysis Centrein GoraÅ¾de.
;What did the NLB Banka Sarajevo maintain most of the agreed sponsorships and donor partnerships in the field of?;culture and sports;ost of theagreed sponsorships and donor partnerships in the field of culture and sports.By supporting virtual festivals and events, the Group helped affecte
;How quickly were artists left without income?;almost overnight;ents, the Group helped affected artists,who were left without income almost overnight.In 2020, we continued implementing the Theatre Interpreter project f
;Who helped artists who were left without income almost overnight?;NLBBanka Sarajevo;NLBBanka Sarajevo donated a hemodialysis machine to the Hemodialysis Centrein GoraÅ¾de.
;In what year did we continue to implement the Theatre Interpreter project?;2020;d affected artists,who were left without income almost overnight.In 2020, we continued implementing the Theatre Interpreter project for theeq
;What does the deaf and hard of hearing want?;solutions that will allow them to equally integrateinto life;f hearing do not want more content intendedonly for them, but rather solutions that will allow them to equally integrateinto life. This is why we facilitated their viewing theatre performances with a
;What did we facilitate their viewing of theatre performances with?;aSlovenian sign language interpreter;e. This is why we facilitated their viewing theatre performances with aSlovenian sign language interpreter. Borut Pahor, the President of Republicof Slovenia, became the honor
;Who became the honorary sponsor?;Borut Pahor;wing theatre performances with aSlovenian sign language interpreter. Borut Pahor, the President of Republicof Slovenia, became the honorary sponsor o
;Who became the honorary sponsor of the Theatre Interpreter initiative?;Borut Pahor;wing theatre performances with aSlovenian sign language interpreter. Borut Pahor, the President of Republicof Slovenia, became the honorary sponsor o
;How much did a sign language interpreter worth in 2019/2020?;EUR 15,000;dditional theatreperformances with a sign language interpreter worth EUR 15,000.
;Who was the President of Republic of Slovenia?;Borut Pahor;wing theatre performances with aSlovenian sign language interpreter. Borut Pahor, the President of Republicof Slovenia, became the honorary sponsor o
;How many sports clubs did NLB support for the fifth year in a row?;42;y years.In the scope of the Youth Sports, in 2020 NLB also supported 42 sports clubsthroughout Slovenia for the fifth consecutive year. We c
;In what field did the Bank remain among the main supporters of all sports federations and clubs?;sports;In the field of sports, the Bank remained among the main supporters of all sportsfederation
;How many years in a row has Slovenia supported young people in sports clubs?;fifth;n 2020 NLB also supported 42 sports clubsthroughout Slovenia for the fifth consecutive year. We continue to pursue thedevelopment and movement 
;What are some of the disciplines that Slovenia supports on a professional level?;skiing, handball, football, and table tennis;involved in disciplines that we also support on aprofessional level skiing, handball, football, and table tennis.
;What do team sports require to achieve good results?;team efforts;Team sports require team efforts to achieve good results  it is good to knowthat one can always rely
;What do some people take participation in various sports events for granted?;many are not so lucky; some people take participation in varioussports events for granted, many are not so lucky. This is why NLB Grouphas been proudly supporting the international 
;How long has NLB Group been supporting NLB Wheel?;13 years;pporting the international wheelchair basketball leagueNLB Wheel for 13 years. It provides support to help the basketball playersexploit their pot
;What does NLB group do to help the basketball players exploit their potential?;provides support;international wheelchair basketball leagueNLB Wheel for 13 years. It provides support to help the basketball playersexploit their potential and lets them 
;In what year was the final meeting of the NLB Wheel league held?;2020;At the final meeting of the NLB Wheel league in 2020,two wheelchair basketball players were drawn to receive new basketba
;How many wheelchair basketball players were drawn to receive new basketball wheelchairs?;two;At the final meeting of the NLB Wheel league in 2020,two wheelchair basketball players were drawn to receive new basketballwh
;Who was the recipient of the new wheelchair basketball basketball players?;NLB Group;ew basketballwheelchairs. The two lucky winners, with the support of NLB Group, weregiven new basketball wheelchairs! Their devotion to sport will 
;What year did the NLB Group receive numerous awards and citations of recognition?;2020;recipient of numerous awards and citations ofrecognition in the year 2020. 
;What group was the recipient of numerous awards in the year 2020?;The NLB Group;hairs! Their devotion to sport will be prepared forall that follows.The NLB Group was the recipient of numerous awards and citations ofrecognition in 
;How many years in a row has NLB d.d. held the prestigious title of Top Employer?;six;ers inSlovenia who has held the prestigious title Top Employer for six years in arow. The Top Employer title is granted to employers with
;What is the title given to employers with best practices in the field of HR and development programs for their employees?;Top Employer;eld the prestigious title Top Employer for six years in arow. The Top Employer title is granted to employers with best practicesin the field of HR
;What is required in order to keep the title?;constant development and an upgrade of HR practices;development programs for their employees. In orderto keep the title, constant development and an upgrade of HR practices isrequired. 
;What is a constant development of?;HR practices;s. In orderto keep the title, constant development and an upgrade of HR practices isrequired. 
;How many times in a row has the NLB Banka sh.a. Prishtina received the award The Most Attractive Bank in Kosovo in 2020?;four;inareceived the award The Most Attractive Bank in Kosovo in 2020 four timesin a row. The award is granted in the course of Trade Facilitat
;The award is granted in the course of what?;Trade Facilitation Programme;in 2020 four timesin a row. The award is granted in the course of Trade Facilitation ProgrammeTFP of the European Bank for Reconstruction and Development. The NL
;How many prestigious awards did the NLB Banka a.d. Banja Luka receive?;two;econstruction and Development. The NLBBanka a.d. Banja Luka received two prestigious awards BAM, granted to themost successful banks in BIH, 
;What were the awards given to the most successful banks in BIH?;two prestigious awards BAM;econstruction and Development. The NLBBanka a.d. Banja Luka received two prestigious awards BAM, granted to themost successful banks in BIH, considering financial i
;How many NLB Group Sustainability Report 2020 Contents 2020 Highlights Sustainability Framework Human Rights Regulation  Governance GRI Standards 2021 Roadmap Skopje In collaboration with EBRD, the bank introduced new loan products for what?;supporting the competitiveness of localsmall and medium companies;, the bank in cooperation with EBRD,introduced new loan products for supporting the competitiveness of localsmall and medium companies and the green economy funding program andgreen energy financing.The
;What did the bank sponsor?;16 sports entities;the realisationof online teaching. The bank supported with donations 16 sports entitiesnational sports federations, sports clubs and active athletes.Banj
;What was the bank active in sponsoring and giving for?;Banja Luka;tiesnational sports federations, sports clubs and active athletes.Banja LukaThe bank was very active in sponsorships and donations for entities a
;How many sports entities did Banja Luka support with donations?;16;the realisationof online teaching. The bank supported with donations 16 sports entitiesnational sports federations, sports clubs and active
;What was the bank very active in sponsorships and donations for?;Banja Luka;tiesnational sports federations, sports clubs and active athletes.Banja LukaThe bank was very active in sponsorships and donations for entities a
;What did the Bank donate for the University Clinical Centre?;respirators;Besides the donation of respirators for theUniversity Clinical Centre, the Bank donated for the Solidari
;What was the goal of the Solidarity Fund?;tohelp companies and their employees;University Clinical Centre, the Bank donated for the Solidarity Fund tohelp companies and their employees who were banned from working duringrestrictive measures to ensure at
;Who was banned from working during restrictive measures?;companies and their employees;ity Clinical Centre, the Bank donated for the Solidarity Fund tohelp companies and their employees who were banned from working duringrestrictive measures to ensure at
;What was the focus of humanitarian projects and donations?;COVID-19-related;break.SarajevoThe focus of humanitarian projects and donations were COVID-19-related.More specifically, to support hospitals and the procurement of medic
;What did the bank sponsor in many corporate and social responsibility initiatives?;SarajevoUnlimited Forum,;ponsibility initiatives, including the sponsorship of the live event SarajevoUnlimited Forum, sponsorship of the Youth Theatre Sarajevo in supportof culture, pr
;What is the name of the live event sponsored by Sarajevo Unlimited Forum?;SarajevoUnlimited Forum,;ponsibility initiatives, including the sponsorship of the live event SarajevoUnlimited Forum, sponsorship of the Youth Theatre Sarajevo in supportof culture, pr
;What type of sports is sponsored by Youth Theatre Sarajev?;youth;the Youth Theatre Sarajevo in supportof culture, professional, and youth sports including basketball, football,and volleyball, the Clean the
;The Clean the Earth in One Day initiative supports what type of entrepreneurship?;entrepreneurship; in One Day initiative, the Ladies Gentleman event in support of entrepreneurship, and many more.
;What did Prishtina donate to University Hospital and Clinical Service of Kosovo?;oxygen equipment;ects with social significance, such as hospital equipment by donatingoxygen equipment to University Hospital and Clinical Service of Kosovo, thushelping t
;What agreement did Podgorica sign with EBRD for?;Women in Business; public health.PodgoricaThe bank signed an agreement with EBRD for Women in Business WiBsupport in order to boost higher inclusion of women in the eco
;What did the bank sign with EBRD for?;Women in Business; public health.PodgoricaThe bank signed an agreement with EBRD for Women in Business WiBsupport in order to boost higher inclusion of women in the eco
;What was the goal of the agreement?;boost higher inclusion of women in the economy;agreement with EBRD for Women in Business WiBsupport in order to boost higher inclusion of women in the economy andwomen entrepreneurs potential by providing access to finance and
;Who was the banks general sponsor in the CSR activities?;TVseries dedicated to young sport talents I play my game; field of CSR activities, as a general sponsor, the bank promoted the TVseries dedicated to young sport talents I play my game. The bank also signeda contract to support sport club BC BuduÄ‡nost 
;What TV series did the bank promote as a general sponsor?;I play my game;sor, the bank promoted the TVseries dedicated to young sport talents I play my game. The bank also signeda contract to support sport club BC BuduÄ‡nost 
;What sport club did the Bank sign a contract to support?;BC BuduÄ‡nost Voli; play my game. The bank also signeda contract to support sport club BC BuduÄ‡nost Voli.BeogradIn addition to participating in the Group project, HelpFram
;The bank successfully organised what NLB?;NLB Organic competition;challenges of the pandemic period, the bank successfully organised theNLB Organic competition. 
;What competition did the NLB organise?;NLB Organic competition;challenges of the pandemic period, the bank successfully organised theNLB Organic competition. 
;How many projects came to the ninth consecutive NLB Organic competition?;73;The fact that 73 projects arrived at the ninthconsecutive NLB Organic competition, br
;What is the total number of projects that applied for the award since 2012?;501;al number of projectsthat applied for the award since 2012, to reach 501, shows that the pandemicwas not an obstacle for the organic producer
;The bank contributes to sustainable development, environmental protection, and what else?;the segment of agriculture;contributes to sustainabledevelopment, environmental protection, and the segment of agriculture that itbelieves is the future of Serbia.At the beginning of the epi
;What project does the bank contribute to?;Organiccompetition;ndemicwas not an obstacle for the organic producers either. With the Organiccompetition project, the bank simultaneously contributes to sustainabledevelopme
;What is the segment of agriculture that the bank believes is the future of Serbia?;NLB Organic competition;The fact that 73 projects arrived at the ninthconsecutive NLB Organic competition, bringing the total number of projectsthat applied for the award sin
;When did the bank provide medical supplies for the Institute of Virology, Vaccines and Sera Torlak?;At the beginning of the epidemic; the segment of agriculture that itbelieves is the future of Serbia.At the beginning of the epidemic, the bank provided medical supplies forthe Institute of Virology, Va
;What was the only institution where COVID-19 testing was performed for the whole Serbia?;Institute of Virology, Vaccines and Sera Torlak;beginning of the epidemic, the bank provided medical supplies forthe Institute of Virology, Vaccines and Sera Torlak, at that time the onlyinstitution where COVID-19 testing was perfor
;Who supported associations in Belgrade and Ni that gathered volunteers during the shortage of protective masks?;Thebank;nstitution where COVID-19 testing was performed for the whole Serbia. Thebank also supported associations in Belgrade and NiÅ¡ that gathered volunte
;Who was at the forefront of the fight against the epidemic?;Thebank;nstitution where COVID-19 testing was performed for the whole Serbia. Thebank also supported associations in Belgrade and NiÅ¡ that gathered volunte
;What is the basic oxygen support for COVID-19 patients?;oxygen flowmeters;he bankalso participated in the UNICEF action for the procurement of oxygen flowmeters, which are the basic oxygen support for COVID-19 patients.16 NLB Gro
;What does sustainable finance integrate into its criteria?;environmental, social, and governance;dards 2021 RoadmapSustainable FinanceSustainable finance integrates environmental, social, and governance ESG criteria into ourbusiness and investment decisions for the las
;Finance Sustainable finance integrates what into our business and investment decisions?;environmental, social, and governance ESG criteria;dards 2021 RoadmapSustainable FinanceSustainable finance integrates environmental, social, and governance ESG criteria into ourbusiness and investment decisions for the lasting benefit of
;What is the most significant way to support our national and global sustainable development goals?;Embeddingsustainability practices;estment decisions for the lasting benefit of our clients and society. Embeddingsustainability practices within our lending, investments, products, and services, is the most
;What does it enable us to manage to our own financial performance and profit from business opportunities?;risks;obal sustainable development goals. Moreover,it enables us to manage risks to our own financial performance and profit from businessopportuniti
OK;In what year did the NLB Group establish a basic mechanism for environmental and social screening of current or potential financing applications against MIGA and EBRD Exclusion List?;2020;EBRD,and in 2020 the Contract of Guarantees with MIGA. Therefore, in 2020 theNLB Group successfully established a basic mechanism for environm
;What did ESMS Officers receive for completing the International Finance Corporations online training program?;a certificate;ironmental andsocial laws. ESMS Officers were appointed and received a certificate forconcluding the International Finance Corporations online trainin
;By what date are banking members expected to establish a comprehensive environmental and social management system?;30-Jun-21;tional Finance Corporations online training program.Furthermore, by 30 June 2021, banking members are expected to establish acomprehensive environmen
;What does the management system require further adaptations of the credit approval process with environmental and social due diligence checks?;comprehensive;thermore, by 30 June 2021, banking members are expected to establish acomprehensive environmental and social management system which requiresfurther ada
;How do we develop a sustainable finance pillar in NLB Group?;We are developing an ESG credit risk policy;How do we develop a sustainable finance pillar in NLB Group? We are developing an ESG credit risk policy, establishing processes, anddefining roles and responsibilities for 
;How are we developing an ESG credit risk policy?;establishing processes, anddefining roles and responsibilities for implementation;e pillar in NLB Group? We are developing an ESG credit risk policy, establishing processes, anddefining roles and responsibilities for implementation. Building internal capacity to assess ESG risks associated with len
;What is building internal capacity to assess?;ESG risks associated with lending andinvestment;sibilities for implementation. Building internal capacity to assess ESG risks associated with lending andinvestment and to assess technical merits of green/sustainability financingoppo
;How do you assess technical merits of green/sustainability financing opportunities?;Building internal capacity;cesses, anddefining roles and responsibilities for implementation. Building internal capacity to assess ESG risks associated with lending andinvestment and to ass
;What is the purpose of identifying, validating, and short-listing sustainability-driven product and service innovation opportunities?;Building internal capacity;cesses, anddefining roles and responsibilities for implementation. Building internal capacity to assess ESG risks associated with lending andinvestment and to ass
;What is NLBs plan to value environmental and social impacts from sustainable finance activities?;Planning measures; Planning measures to value environmental and social impacts fromsustainable finance ac
;What is the plan to develop to position NLB as a market leader in green/sustainability financing?;communications plan;al principles and inclusion ina sustainability index. Developing a communications plan to position NLB as a market leader ingreen/sustainability financing 
OK;What is NLB a market leader in?;green/sustainability financing;Developing a communications plan to position NLB as a market leader ingreen/sustainability financing and identifying and pursuing partnerships togenerate green/sustainab
;What does NLB identify and pursue to generate green/sustainability financing opportunities?;partnerships;leader ingreen/sustainability financing and identifying and pursuing partnerships togenerate green/sustainability financing opportunities.
;What does the Bank focus on in the process of integrating ESG factors?;identifying new business opportunities;cess of integrating ESG factors, the Bank directs its efforts towardsidentifying new business opportunities arising from the transition to thecircular and carbon neutral econom
;What is the Banks focus on identifying new business opportunities from the transition to the circular and carbon neutral economy?;integrating ESG factors;In the process of integrating ESG factors, the Bank directs its efforts towardsidentifying new business opport
;When are several long-term loans for projects that represent an important step in our transition?;2020;ng from the transition to thecircular and carbon neutral economy. In 2020, several long-term loans forprojects which represent an important st
;What is the name of the company that entered into a syndicated Facility in the amount of 115 million EUR?;NLB Group;ntimprovement the quality of the life in all region, were concluded.NLB Group NLB d.d. and NLB Bank Prishtina entered into syndicatedFacility in
;What is the name of the wind farm in Kosovo?;Selac;, Kosovo for financing theproject of wind farms Selac in Kosovo, in total capacities up to 105 MW.The participation of NL
OK;How much does the NLB Group contribute to the project of the Selac wind farm?;23 million EUR;to 105 MW.The participation of NLB Group in this facility amounts to 23 million EUR.The project of the Selac wind farm will contribute in the production
OK;What percentage of the total electricity production will be produced by the project Selac?;10%;f the Selac wind farm will contribute in the production of atotal of 10% of the total electricity production in Kosovo and will provide asign
;What percentage of the total electricity production in Kosovo is produced?;10%;f the Selac wind farm will contribute in the production of atotal of 10% of the total electricity production in Kosovo and will provide asign
;What is the ambition of NLB Group in our home region?;to further expand ourportfolio of financing green projects;population of Kosovo.The ambition of NLB Group in our home region is to further expand ourportfolio of financing green projects in the area of renewable energy. 
;What are the most tangible opportunities for the bank?;wind and solar farms;So far,most tangible opportunities are seen with wind and solar farms.As part of the banking book portfolio at the end of 2020, the bank h
;When did the bank oversee investments in the ESG bank and sovereign securities?;end of 2020;th wind and solar farms.As part of the banking book portfolio at the end of 2020, the bank has beenoverseeing investments in the ESG bank and soverei
;What are we analysing in the corporate green infrastructure space?;investment options; securities in theamount of roughly EUR 57 million. We are analysing investment optionswithin the corporate green infrastructure space, while applying our s
;What is expected to rise in the future?;The share of ESG investments;een infrastructure space, while applying our standardreturn metrics. The share of ESG investments within the banking bookportfolio is expected to rise in the future. 
;What percentage of our investments on the primary market are expected to be allocated to ESG securities?;10%;We are expecting around 10%estimated ESG new issue market share of our investments on the prim
;The Banks offer also follows its new sustainability strategy by gradually transitioning to what?;paperless banking;ollows its new sustainability strategy, in graduallytransitioning to paperless banking. The Bank has been following the trend ofdecreasing paper statements
;What has been the trend of decreasing paper statements for several years?;The Bank;ainability strategy, in graduallytransitioning to paperless banking. The Bank has been following the trend ofdecreasing paper statements for sever
;In the last five years the number of paper statements decreased by more than what percentage?;50%.;last five years thenumber of paper statements decreased by more than 50%. 
;How many in percentage, the number of paper statements decreased in last five years in NLB Group?;50%;
;What is one of the new products that contributes to paperless banking operations?;NLBPackage My World;new products which contributes to paperless banking operations is the NLBPackage My World Moj svet, which was primarily created for youngclients between 1
;What was created primarily for young clients between 18 and 27 years?;NLBPackage My World;new products which contributes to paperless banking operations is the NLBPackage My World Moj svet, which was primarily created for youngclients between 
;Besides the soon to be digitized debit card, what else does the NLB Package offer?;use of m-bank Klikin;ars. Besides the soon to be digitized debit card, italso offers them use of m-bank Klikin and e-bank NLB Klik free of charge.The business model of financing
;What is changing in the business model of financing corporates?;a sustainableproduct portfolio;rge.The business model of financing corporates is also changing, and a sustainableproduct portfolio is emerging. Business opportunities, such as energyrenovations of bu
;What is emerging in business opportunities such as energy renovations of buildings?;a sustainableproduct portfolio;rge.The business model of financing corporates is also changing, and a sustainableproduct portfolio is emerging. Business opportunities, such as energyrenovations of bu
;Will be replaced, only prove the sense of cooperation to engage the economy in the direction of what?;sustainable development;ve the sense of cooperation to engage the economy in thedirection of sustainable development. 
;What is one of the first goals of sustainable loans for legal persons?;the launch;One of the first goals is the launchof sustainable loans for legal persons. Through the pilot project, the
;Through the pilot project, the Bank will be able to define what?;the specific purposes of sustainable financing;l persons. Through the pilot project, the Bankwill be able to define the specific purposes of sustainable financing and thedocumentation that proves the justification of the purpose, a
;What will employees at the front desk be trained to offer better customer advice?;sustainable finance; at thefront desk will be trained to offer better customer advice on sustainable finance.In 2020, one of the major projects in the Bank was to provide help f
ok;What was one of the major projects in the Bank in 2020?;to provide help for youngfamilies;stainable finance.In 2020, one of the major projects in the Bank was to provide help for youngfamilies on their road to their first home with professional advice and materi
;What was the purpose of the Bank?;the launchof sustainable loans for legal persons;One of the first goals is the launchof sustainable loans for legal persons. Through the pilot project, the Bankwill be able to define the speci
;What did the Bank provide to young families?;professional advice and materialincentives;rovide help for youngfamilies on their road to their first home with professional advice and materialincentives. 
;How many clients were randomly selected to take out a housing loan?;One hundred;One hundred clients taking out a housing loan were randomlychosen and helped wit
;How many monthly instalments did each client have to repay?;three; out a housing loan were randomlychosen and helped with repayment of three monthly instalments in the totalamount of a maximum of EUR 1,000 for
OK;What is the maximum amount of the NLB Green Housing Loan?;EUR 1,000;ment of three monthly instalments in the totalamount of a maximum of EUR 1,000 for each client.The NLB Green Housing Loan, with special benefits in
;When was the purchase or building of a passive house for private individuals introduced?;Oct-20;building of a passive house for private individuals was introduced inOctober 2020. Benefits for borrowers include the following the interest rate isl
;What is the interest rate lower by?;50 bp;ts for borrowers include the following the interest rate islower by 50 bp and the cost of approval lower by EUR 100.17 NLB Group Sustainabilit
;How much lower is the cost of approval?;EUR 100;the interest rate islower by 50 bp and the cost of approval lower by EUR 100.17 NLB Group Sustainability Report 2020Contents 2020 Highlights Sus
;What is the company Agro Krusha based in?;Krusha e Madhe;1 RoadmapThe company Agro Krusha comes from the agriculturalvillage Krusha e Madhe in the municipality of Rahovec,Kosovo. 
;Where does Agro Kurusha come from?;Krusha e Madhe;1 RoadmapThe company Agro Krusha comes from the agriculturalvillage Krusha e Madhe in the municipality of Rahovec,Kosovo. 
;What municipality is Rahovec located?;Kosovo;he agriculturalvillage Krusha e Madhe in the municipality of Rahovec,Kosovo. 
;Who is the CEO of COVID-19?;Emire Duraku;It is led by Emire Duraku, an entrepreneur whotogether with her family cultivated about 15 hec
;How many hectares of land did Emire Duraku cultivate with her family?;15;Duraku, an entrepreneur whotogether with her family cultivated about 15 hectaresplanted with vegetables for the production of ajvar andpick
;What was the purpose of the ajvar and pickles produced?;vegetables;hotogether with her family cultivated about 15 hectaresplanted with vegetables for the production of ajvar andpickles. When COVID-19 hit the countr
;When did the company suffer a major fallback?;COVID-19;planted with vegetables for the production of ajvar andpickles. When COVID-19 hit the country, the companysuffered a major fallback due to decreas
;Emire Duraku B.K.M Agro Krusha, Kosovo What project did Emire decide to join?;HelpFrame;the past. Knowing the importanceof advertising Emire decided to join HelpFrameproject presented to her by her banking advisor andhas received many
;What project was presented to Emire by her banking advisor?;HelpFrame;the past. Knowing the importanceof advertising Emire decided to join HelpFrameproject presented to her by her banking advisor andhas received many
;What refers to managing our direct ESG impacts and ensuring we operate ethically?;Sustainable operations;ation  Governance GRI Standards 2021 RoadmapSustainable OperationsSustainable operations refer to managing our direct ESG impacts, and ensuring we operateet
;What is NLB d.d.s aim to improve?;sustainable operations;Our aim to improve sustainable operations is accomplished throughmeasurement, management, and reporting perfor
;What are the main regulations defining the area of NLBs operations?;Environmental Protection Act, Public Utilities Act, the Decree on WasteManagement;regulations defining the area of waste management in Slovenia arethe Environmental Protection Act, Public Utilities Act, the Decree on WasteManagement Official Gazette of the RS, No 34/08, Regulation EC No1013/2006 
;What are the main regulations defining the area of waste management in Slovenia?;Environmental Protection Act, Public Utilities Act, the Decree on WasteManagement;regulations defining the area of waste management in Slovenia arethe Environmental Protection Act, Public Utilities Act, the Decree on WasteManagement Official Gazette of the RS, No 34/08, Regulation EC No1013/2006 
;What is the Decree on Waste Management Official Gazette of the RS, No 34/08, Regulation EC No 1013/2006?;shipments of waste;fficial Gazette of the RS, No 34/08, Regulation EC No1013/2006 on shipments of waste OJ L 190, 12.7.2006, p. 1, and the Decreeon the Implementation of 
;What is the name of the Decree on the Implementation of the Regulation EC No 1013/06 on shipments of waste?;waste;n the Implementation of the Regulation EC No 1013/06 on shipments ofwaste Official Gazette of the RS, No 71/07.
OK;How much lower was NLB d.d.s electricity consumption in 2019?;9,87%;.d. continued with the reduction of electricity consumption,which is 9.87% lower than in 2019 12.338.373 kWh. In NLB Groups coremembers comp
OK;In what two cities did the electricity consumption decrease between 6% and 9.8%?;Sarajevo and Belgrade;olume did not change drasticallyby individual members, except for in Sarajevo and Belgrade, where itdecreased between 6% and 9.8% based on measured consumption
OK;What was the reduction in energy consumption in Sarajevo and Belgrade?;between 6% and 9.8%;dual members, except for in Sarajevo and Belgrade, where itdecreased between 6% and 9.8% based on measured consumption. Powerconsumption in 2020 totalled 11,
;Where did Belgrades power consumption decrease between 6% and 9.8% based on measured consumption?;Sarajevo;olume did not change drasticallyby individual members, except for in Sarajevo and Belgrade, where itdecreased between 6% and 9.8% based on measure
OK;What was the total power consumption in 2020?;11,120,149 kWh;.8% based on measured consumption. Powerconsumption in 2020 totalled 11,120,149 kWh compared to 12,338,373 kWhin 2019. 
;How many kWh was it consumed in 2019?;12.338.373;ption. Powerconsumption in 2020 totalled 11,120,149 kWh compared to 12,338,373 kWhin 2019. 
;What was the reason for the reduction in power consumption?;reduction in thenumber of branch offices;The reason for reduced power consumption was the reduction in thenumber of branch offices the following branch offices were closed in 2020Bled, Lucija, Misl
;When were the following branch offices closed?;2020;number of branch offices the following branch offices were closed in 2020Bled, Lucija, Mislinja, Poljanska, Radenci, SemiÄ, Senovo, Stari trg
;How many branch offices were closed in 2020?;the following; power consumption was the reduction in thenumber of branch offices the following branch offices were closed in 2020Bled, Lucija, Mislinja, Poljanska
;What are some of the technological improvements?;LED lights;d the refurbishment of old branches, numeroustechnical improvements LED lights, rationalisation of behaviour among theemployees, more rational ene
;What is the graph below showing the power consumption over the years?;thereduction of consumption in the period from 2018 to 2020 is clear;home.The graph below shows the power consumption over the years, and thereduction of consumption in the period from 2018 to 2020 is clear.Sustainable development-oriented activities also bring certain risks
;What does the transition from gas oil heating to heat pumps, powered by electricity, mean for the environment?;lower burden;n from gas oil heating to heat pumps, powered by electricity, meansa lower burden for the environment due to emissions however, we havewitnessed an i
;What has caused an increase in storms where the power supply can be compromised?;location;e disrupted, and so immediately prevent the Bank from operating at thelocation. 
;How often can storms disrupt the power supply?;increasing frequency;n for the environment due to emissions however, we havewitnessed an increasing frequency of storms where the power supply canbe disrupted, and so immediately
;What can prevent the Bank from operating at the location?;storms;e to emissions however, we havewitnessed an increasing frequency of storms where the power supply canbe disrupted, and so immediately prevent t
