Controlled by,LABEL,question,answer,context
JV,,Who is even more convinced that we are following the right path?,BlaLl Brodnjak," of thefootprints we createnot only today, but also for tomorrow.BlaLl BrodnjakCEO... even moreconvincedthat we arefollowing theright path.C"
JV,,What did NLB Komercijalna Banka Beograd continue to integrate into every aspect of its business operations?,sustainability,"nsible banking,NLB Komercijalna Banka Beograd continuedto integrate sustainability into every aspect of itsbusiness operations.Among other things, we "
JV,,What is NLB Group at a Glance?,Sustainability,StatementKey Highlights 2022About This ReportNLB Group at aGlanceSustainabilityStrategyGovernanceSustainableOperationsSustainable Finance andRi
JV,,How do we enhance knowledge and experience sharing?,collaborations,"icipates in regulatory framework developments. Mostimportantly, such collaborations strengthen capacities forNLB Groups green transition, and enhance k"
JV,,What is the name of the document that allows the Bank and its Group members to align their core values?,the Principles,"hen it became a signatory to the UN PRB andUNEP FI member.Through the Principles, the Bank and its Group memberstake decisive action to align its cor"
JV,,What has NLB put at the heart of its business decisions and actions?,sustainability,"RoadmapforContentsIn the NLB Group, we have put sustainability inits broadest sense at the heart of our businessdecisions and acti"
JV,,How many managerial positions do women hold within the NLB Group?,more than half," we have madesignificant progress in this field, as women nowoccupy more than half of the managerial positionswithin the NLB Group. Numbers, however, a"
JV,,What do the Principles enable the Group to embed across all its business areas?,sustainability,"tainability Framework. Thus, thePrinciples enable the Group to embed sustainability acrossall its business areas, to make positive impacts on peopleand"
JV,,What do we believe environmental sustainability and economic development are not at odds with?,sustainability,bility andeconomic development are not at odds  quitethe contrary sustainability can drive economicdevelopment and that is why we have intertwinedES
JV,,What can drive economic development?,sustainability,bility andeconomic development are not at odds  quitethe contrary sustainability can drive economicdevelopment and that is why we have intertwinedES
JV,,What is the Banks corporate governance based on?,two-tiersystem,"The Banks corporate governance is based on a two-tiersystem in which the Management Board manages the Bank,while its daily opera"
JV,,What did NLB sign to respect human rights in business?,the Commitment,"nd suppliers as well as the membersof the NLB Group. NLB also signed the Commitment to respecthuman rights in business, with which the Bank will support"
JV,,What does the Supervisory Board have to consult with before giving approval?,AuditCommittee,"ervisory Board givesapproval, subject to prior consultation with the AuditCommittee, to the plan of risk management activities inaccordance with the str"
JV,,"Responsibility, governance, changing customer behaviour, emerging new technologies and competitors, as well as increasing new regulatory requirements?",sustainability," relevant for the Groupsoperations, is changing with trends such as sustainability,social responsibility, governance, changing customerbehaviour, emer"
JV,,How many members are on the Management Board?,three to seven,"e Articles ofAssociation of NLB, the Management Board is composed ofthree to seven members, one of whom is appointed Presidentof the Management Board o"
JV,,What is completely independent of both the first- and second-level control functions?,Internal audit,"pleteness, functionality and adequacy of the internalcontrol system. Internal audit is completely independentof both the first- and second-level control"
JV,,What is the name of the comprehensive overview of all activities in the Bank subject to internal audit?,Sustainability,"ly independentof both the first- and second-level control functions.Sustainability is part of the Audit Universe, defined as acomprehensive overview of"
JV,,What is integrated in the regular annual planning process?,Sustainability,"ly independentof both the first- and second-level control functions.Sustainability is part of the Audit Universe, defined as acomprehensive overview of"
JV,,What is NLBs approach to personal data protection?,Privacy Policy,k.More details about NLBs approach to personal dataprotection i.e Privacy Policy are available in our GeneralInformation on Personal Data Protection
JV,,What is the name of the approach to personal data protection?,Privacy Policy,k.More details about NLBs approach to personal dataprotection i.e Privacy Policy are available in our GeneralInformation on Personal Data Protection
JV,,Report NLB Group at a Glance Sustainability Strategy Governance Sustainable Operations Sustainable Finance and Risk Management Metrics and Targets Contribution to Society Appendices Contents Cyber security The Group is giving special focus to what?,cyber security,"pendicesContentsCyber securityThe Group is giving special focus to cyber security, andconsequently assuring the confidentiality, integrity, andthe av"
JV,,What type of channels are established in NLB Group for reporting harmful conduct?,whistleblowing, In NLB Group various whistleblowing channels areestablished for reporting suspicions of harmful conduct
JV,,"What could have serious consequences with respect to regulatory sanctions, criminal liability or the Banks reputation?",Such practices,"to regulatory sanctions, criminal liability or the Banksreputation. Such practices harm both the Bank and ouremployees as well as our stakeholders.All"
JV,,Who is protected against retaliation measures and assurance of anonymity?,whistle-blower,al stakeholders in person by telephoneWe use a strict policy of whistle-blower protection againstretaliation measures and assurance of anonymity.T
JV,,In what other country was there a slight reduction in emissions?,othercountries,"educe totalelectricity carbon foot print by 70%. Slight reduction in othercountries was also achieved. Furthermore, indirect emissionsdue to district he"
JV,,What will the Group strive to monitor needs and execution of?,business trips,"ears. The Group willstrive to further monitor needs and execution of business trips,and keep promoting efficient use of remote, digital ways forconduct"
JV,,What is an integral part of the internal procurement regulation in the NLB Group?,ESG principles,"cal, and economic issues at all stagesof the procurement life cycle.ESG principles are an integral part of the internal procurementregulation in the NL"
JV,,What must be respected by the bid-ders?,ESG principles,"cal, and economic issues at all stagesof the procurement life cycle.ESG principles are an integral part of the internal procurementregulation in the NL"
JV,,What are some of the longer training programmes on Udemy for Business created by in-house professionals in their respected fields?,Learning paths,"iness Financial analysisFurthermore, our staff have access to the Learning paths longer training programmes on Udemy for Business that werecreated"
JV,,What did we train our employees in?,Data analytics,"ape our future andtherefore trained our employees in the areas of Data analytics courses for data translators, datastorytelling, data science, etc."
JV,,Who controls other workers whose work or workplace is not controlled by NLB?,their employer,"rs whose work or workplace is not controlled by NLB, iscontrolled by their employer, who must also comply with locallaws and regulations.Through joint"
JV,,How long does it take for information to be delivered at the request of the Union?,within 15 days,"lations,whereby information is delivered at the request of the Unionwithin 15 days from the date of submission of the application, atleast six months a"
JV,,What are the objectives of the diversity policy when assessing the collective suitability of management and supervisory bodies?,Gender and age,es and senior management in 2022 and plan for 2023Male FemaleGraph Gender and age diversity of Supervisory and Management BoardsThe Supervisory Board 
JV,,What is the CEO Statement Key Highlights 2022?,High High High, bodyHigh High High High High HighPersonal integrity High High High High High HighGeographical provenance Medium High Medium High Medium High Medium Hig
JV,,What will be shared and adopted by branches that might need a little help in specific areas?,good practices, work.The aim of the project is to connect branches to a level wheregood practices will be shared and adopted by branches thatmight need a little help 
JV,,What percentage of customers became promoters of the bank after the survey?,More than half,More than half of thecustomers who responded to the survey and were satisfiedwith 
JV,,Where is there less regulation?,outside the EU,and their location outside the EU there is less regulation. On the portfolio level the Group does no
JV,,Sustainable financing is implemented in accordance with what?,theGroups ESMS,o management.Sustainable financing is implemented in accordance with theGroups ESMS. Beside addressing ESG risks in all relevantstages of the credit-gra
JV,,"What is the required minimum allowable weighted average score of the environmental, social and governance characteristics of all investments of the sub- fund?",referencevalue,"operations, provided thatthey respect good governance practices. The referencevalue for the achievement of the environmental andsocial characteristics p"
JV,,What does levels tend to know the employees and their interests?,The Management,"every personslife, we do our best to support the work-life balance.The Management at all levels tends to know theemployees and their interests, in ord"
JV,,What is another important greenhouse gas?,carbon dioxide,"Thus, we initiated measurements ofblack carbon, in addition to carbon dioxide, another importantgreenhouse gas. Polluted air globally causes 7 to "
JV,,How many premature deaths are caused by polluted air in the world?,7 to 8 million,"oxide, another importantgreenhouse gas. Polluted air globally causes 7 to 8 millionpremature deaths, and in the Western Balkans the situation iseven mo"
JV,,What is the name of the Slovenian aviator and climate change researcher who is the head of the GLWF scientific team?,GriL?a Mo�Tnik,"an aviator and climate change researcherMatevLl Lenar�Ti�T and prof.dr. GriL?a Mo�Tnik, PhD, head ofthe GLWF scientific research team which gathered the da"
JV,,How long is the history of world banking?,"5,000-year-old","Carniola Savings Bank  wasestablished. Visitors first walk into the 5,000-year-old historyof world banking in a multimedia introduction. Then, theyexp"
JV,,What did NLB Komercijalna banka donate to the Neonatology Institute?,80 spirometers,nka donated to the NeonatologyInstitute and NLB Banka Skopje donated 80 spirometers forhome use for patients over seven years of age. 
JV,,Where is NLB Komercijalna Banka a.d. located?,Beograd Serbia," Bosnia and Herzegovina, respectively NLB Komercijalna Banka a.d., Beograd Serbia, and N Banka, d.d., Ljubljana SloveniaGRI standard/other source "
JV,,GRI 303 Water and 303-1 Interactions with water as a shared resource?,Not applicable,303 Water and303-1 Interactions with water as a shared resource Yes Not applicable303-2 Management of water discharge-related impactsYes Not applicab
JV,,What is the name of the chapter on Responsible procurement and supply chain management in the Sustainability Report?,GRI 3 Material,Supplier environmental assessmentGRI 3 Material3-3 Management of material topics 1. See Chapter Responsible procureme
JV,,What are the negative social impacts in the supply chain?,actions taken1,is in progress.414-2 Negative social impacts in thesupply chain and actions taken1. 
JV,,What is the GRI 3 Material 3-3 Management of material topics?,Not applicable,alth and safetyGRI 3 Material3-3 Management of material topics yes Not applicable The topic is notidentified as material.NLB Group financialproducts
JV,,For SME and micro segment we developed our own proxies in cooperation with what?,externalexpert,ME and micro segment we developed our own proxies in cooperation with externalexpert.
JV,,"Climate Justice Climate Integrity  security of person Resources efficiency/security Corporate Banking Impact Ecoomic convergence Strong institutions, peace  stability",ClimateJustice,economies Resources efficiency/security Resources efficiency/security ClimateJustice Climate Integrity  security of person Resources efficiency/security
JV,,What is NLB Group currently analysing after identifying customers with the most substantial positive or negative impact?,the portfolios,"equirements for the first 18 months, NLB Group is currentlyanalysing the portfolios after identifying customers with themost substantial positive or neg"
JV,,How long prior to publication is the data used for and disclosed in the impact analysis?,Up to 6 months,How recent is the data used for and disclosed in the impactanalysis?Up to 6 months prior to publication Up to 12 monthsprior to publication Up to 18 mo
JV,,What will the volume of new sustainable corporate financing in NLB Group be at least EUR 785 mio all electric energy will come from zero-carbon sources?,Climate change,ator code in the following tableImpact area Indicator code ResponseClimate changethe volume of newsustainable corporatefinancing in NLBGroup will b
JV,,What is NLB Group at a Glance Sustainability Strategy Governance Sustainable Operations Sustainable Finance and Risk Management Metrics and Targets Contribution to Society Appendices Contents Target implementation and monitoring Key Step 2 For each target separately Show that your bank has implemented the actions it had previously defined to meet what?,the set target,ur bank has implemented the actions it hadpreviously defined to meet the set target.Report on your banks progress since the last report towardsachievi
JV,,What was the key topic on the agenda of different regional client-focused events organised by NLB Group throughout 2022?,Sustainability,e in Bosnia and Hercegovina and a large renewablesproject in Serbia.Sustainability was the key topic on the agenda of differentregional client-focused 
JV,,What is a main topic on the agenda for clients and customers?,sustainability, NLB Group organises various events for clients andcustomers where sustainability is one of the main topics onthe agenda. One of the targets for NLB
JV,,"What is NLB Group at a Glance Sustainability Strategy Governance Sustainable Operations Sustainable Finance and Risk Management Metrics and Targets Contribution to Society Appendices Contents Stakeholders We will proactively and responsibly consult, engage and partner with relevant stakeholders to achieve what?",societys goals,"bly consult,engage and partner with relevant stakeholders toachieve societys goals."
JV,,What is fully embedded in the strategy and the leaderships communication activities?,Sustainability,Sustainability is fully embeddedin the strategy and the leaderships communication 
JV,,"What is created to create shared understanding, meaning and connection between leaders and stakeholders?",Sustainability,Sustainability is fully embeddedin the strategy and the leaderships communication 
JV,,What is integrated into the business model and embedded in all operations among Group members?,Sustainability,"ormance management, please refer toSustainability Report 2022 p. 33Sustainability is integrated into the business model andembedded in all operations "
JV,,What does NLB Group provide internal e-learning on?,sustainability,"andSecurity Training.NLB Group also provides internal e-learning on sustainabilitythat explains the concept, benefits, goals and Bankcommitments. The "
JV,,What is also integrated into the remuneration policy and performance management?,Sustainability,Sustainability is also integrated into the remuneration policyand performance manag
JV,,Toma Fatur was a leading Slovenian energy efficiency expert to explain the trends and emphasise the importance of what?,sustainability,ficiency expert to explain thetrends and emphasise the importance of sustainability andclimate change mitigation and adaptation actions. More than1000 
JV,,What does NLB Group at a Glance address?,Sustainability,StatementKey Highlights 2022About This ReportNLB Group at aGlanceSustainabilityStrategyGovernanceSustainableOperationsSustainable Finance andRis
JV,,What is the list of prohibited activities including coal?,Exclusion list,LBGroup that includesa. Description of environmental objectivesb. Exclusion list the list of prohibited activities including coalc. The environment
JV,,What is a comprehensive overview of all activities in the Bank subject to internal audit defined as?,Audit Universe,"dividual external provider,Institut Jozef Stefan.ESG is part of the Audit Universe, defined as a comprehensiveoverview of all activities in the Bank su"
JV,,What defines a specific reference framework and additional principles for approving balance and off-balance transactions for specific customer segments?,Lending Policy,"io diversification, industry, type of investments and target markets.Lending Policyfor Specific Clients Segmentsin NLB and NLB GroupThe policy defines"
JV,,Who are members of senior management?,the executives,dures and harmonising the operating instructions withthis policy.e the executives members of the senior management shall ensure that employees act in
JV,,What are the members of senior management responsible for?,the executives,dures and harmonising the operating instructions withthis policy.e the executives members of the senior management shall ensure that employees act in
JV,,What is one way to prevent human rights abuses in the context of banking business?,mitigate risks,"human rights abuses in the contextof banking business, as well as to mitigate risks in this respect. "
JV,,What does the Work From Home Policy regulate?,the conditions,cy addresses the NLB employees option to work from home. It regulates the conditions under which employees can perform their workand tasks from home or a
JV,,How many employees attended the first NLB Group Sustainability Day?,"More than 1,000","Employee training sessions increasedto 22.4 hours/employee. More than 1,000 employees attended the first NLB GroupSustainability Day and strengt"
JV,,What is the Commission for Sustainable Growth CEO Statement Key Highlights 2022 About NLB Group at a Glance Sustainability Strategy Governance Sustainable Operations Sustainable Finance and Risk Management Metrics and Targets Contribution to Society Appendices Contents Key members overview1 1 Data on a stand-alone basis as included in the consolidated financial statements of the Group?,AmCham Slovenia,bleSlovenian Banking Association Sustainable Finance WorkingGroupAmCham Slovenia  Commission forSustainable GrowthCEO StatementKey Highlights 2022
JV,,What is the market share of the balance of payments as a percentage of GDP?,Current account,n EUR millionsMarket shareby total assetsMacroeconomic indicatorsCurrent account of thebalance of paymentsas a % of GDPBudget deficit/surplusas
JV,,NLB Group will disclose all relevant ESG data and further implement what?,the EU Taxonomy, NLB Group will disclose all relevant ESG data and furtherimplement the EU Taxonomy. The focus will also be on analysis andimplementation of the newly a
JV,,"What is implemented in accordance with the set strategic guidelines, internal policies and procedures?",Risk management,7. Systemic RiskManagementRisk management in the Group is implemented in accordance with the set strategic guid
JV,,How often do the members of the Supervisory Boards change their positions?,once every year,"tion to an individual event. Upon takingthe position, any change and once every year, the members ofthe Supervisory Board sign the Statement of Independe"
JV,,How often do the members of the Supervisory Board sign the Statement of Independence?,once every year,"tion to an individual event. Upon takingthe position, any change and once every year, the members ofthe Supervisory Board sign the Statement of Independe"
JV,,What does the Management Board of NLB do?,manages theBank,"sion-making and representationbody of the Bank. The Management Board manages theBank and makes business decisions independently andautonomously, adopts s"
JV,,What is the responsibility of the management board?,manages theBank,"sion-making and representationbody of the Bank. The Management Board manages theBank and makes business decisions independently andautonomously, adopts s"
JV,,Who regularly reports to the Management and Supervisor Boards?,CEO of the Bank,"h the central coordination team in NLB, which reportsdirectly to the CEO of the Bank, who regularly reports to theManagement and Supervisory Boards."
JV,,What is monitoring developments?,regulatory area,"onment.Compliance is included and is monitoring developments inthe regulatory area, communicating these to relevant unitse.g. "
JV,,What is Chapter 3 of the NLB Group Annual Report 2022?,Risk Management,"nd corresponding governance or NLB Group Annual Report 2022 Chapter Risk Management or NLB Group Pillar 3 DisclosuresChapter Risk Management, objectiv"
JV,,What is the responsibility of the Management Board member?,strategic goals,"e sustainability roadmap in the areas that arecovered by CRO Other strategic goals of the Management Board member, which are set by the SupervisoryBoar"
JV,,What is the Slovenian Corporate Governance Code for Listed Companies?,recommendations,"operation with theBanks Management Board, all in compliance with therecommendations of the Slovenian Corporate GovernanceCode for Listed Companies. If n"
JV,,When will the activities within this initiative be fully implemented?,throughout 2023,tion. The activities within this initiativewill be fully implemented throughout 2023.
JV,,What will be defined to mitigate the risks of human rights violations?,furthermeasures,"ied out toidentify key risk factors for human rights violations, and furthermeasures to mitigate such risks will be defined."
JV,,What type of training courses were conducted in the field of standards of conduct and ensuring integrity?,trainingcourses, corruption and briberyof employees were performed within the set of trainingcourses in the field of standards of conduct and ensuringintegrity.
JV,,What defines further basic tax principles?,NLBs Tax Policy,anised under the responsibility of the localChief Financial Officer.NLBs Tax Policy defines further basic taxprinciples NLB conducts its tax operatio
JV,,What is included in the vehicle fleet?,Fuel combustion,ocietyAppendicesContentsScope 1 Inclusion/Exclusion Explanation1. Fuel combustion Included  Combustion of fuels2. Vehicle fleet ICE Included Owne
JV,,"In 2022, what type of travel is included?",Business travel,"newcategory in 2022 general, hazardous, water andpaper waste6. Business travelIncluded newcategory in 20227. "
JV,,What are the special years for NLB Group due to?,globalpandemics," environmental impact. With 2020 in 2021 being special years due to globalpandemics which affected the total volume of GHGsignificantly, 2019 pre-pande"
JV,,What affected the total volume of GHG significantly?,globalpandemics," environmental impact. With 2020 in 2021 being special years due to globalpandemics which affected the total volume of GHGsignificantly, 2019 pre-pande"
JV,,How are employees from all levels and countries in the Group able to participate in the measurement of organisational culture?,focus workshops," by involving employees fromall levels and countries in the Group in focus workshops,we gained a very good insight into the existing culture thatwill he"
JV,,"Mentoring, job rotations and job shadowing are examples of what?",Social Learning,"part of our ongoing efforts, we are also developing whatis known as Social Learning, which encompasses methodsof learning in the workplace including, b"
JV,,What is carried out according to a certain methodology and on-site inspection of workplaces?,Risk assessment,Risk assessment and incident investigationRisk assessment is carried out according by a certainmethodology and on-site inspect
JV,,What does the Group take to prevent and mitigate a negative occupational health and safety impact?,severalmeasures,"ative occupationalhealth and safety impacts, the Group takes care of severalmeasures. "
JV,,Who is obliged to get an agreement with proposed changes of internal rules from?,Workers Council,iged to get an agreement withproposed changes of internal rules from Workers Council.
JV,,How was the suitability of members of the management body assessed?,ESMA Guidelines,"ompanies Act ZGD-1, amendments to the BankingAct ZBan-3, EBA and ESMA Guidelines on assessingthe suitability of members of the management body andho"
JV,,How are older people being included in the best digital banking experience?,digitalchannels,"the needs ofthe older population, some of which are transitioning to digitalchannels for the first time. We are making efforts to ensurethat older people"
JV,,What is the final step in assessing the impact?,the materiality,"4.In the final step, the materiality of the impact is assessed.These analyses were performed on proxy dat"
JV,,Floods and drought do cause what?,material losses,"determined. Based on the analysed data, floods and drought do cause material losses, but they do not have a material effect on the Groups portfolio. C"
JV,,Impacts of climate-related and other ESG risk on the Groups business model?,the table below," the Group assessment and key mitigation activities, are described in the table below."
JV,,What reflects a low risk of experiencing material financial impacts from ESG factors?,Assigned rating,NLB obtained in 2022 for the firsttime an ESG Risk Rating. Assigned rating reflects a low risk ofexperiencing material financial impacts from E
JV,,How are existing and new suppliers allowed to continue business relationships?,Series of rules,"essed, servicing as an early warning system in the areaof ESG risks. Series of rules in the area of ESG for existingand new suppliers to continue busines"
JV,,What is part of the ESMS due diligence process for clients with exposure above 10 mil EUR and ES classification as high risk?,A questionnaire,A questionnaire is partof the ESMS due diligence process for clients with the exposu
JV,,What does NACE low medium high ES Enhanced Risk Assessment Characteristics Decision approving / declining transaction?,LOW MEDIUM HIGH,n ListRegulatory Compliance CheckES IndustryCategorization by NACELOW MEDIUM HIGHES Enhanced Risk AssessmentTransaction CharacteristicsDecisionap
JV,,What type of activity has the potential to replace high-impact activities?,renewableenergy,"ment and having thepotential to replace high-impact activities e.g. renewableenergy, reducing impact form other activities, making a positive enviro"
JV,,What is the name of the Regulation EU 2019/2088?,Regulation SFDR,eenvironmental and social characteristics and adhere to Article8 of Regulation SFDR EU 2019/20881 Sub-fund NLB Funds - Equity Socially Responsib
JV,,How much new green loan volume did NLB generate for retail clients?,over 53 million,B generated new green loan volume for retail clients in the amount of over 53 million. 1NLB continued to support clients in green transition with alread
JV,,What are marked as ESG issuances in the Groups portfolio?,Debt securities,bonds in a green format.Treasury ESG Bonds in theGroups portfolioDebt securities marked as ESG issuances are included andconstantly increasing in the
JV,,What are the most GHG-intensive sectors within their portfolios?,Green House Gas,"ontentsEU Taxonomy disclosuresTo achieve ambitious goal of net-zero Green House GasGHG emissions by 2050, one of the tools that was developedwas the E"
JV,,What did NLB Group send to all NFRD companies to evaluate their portfolio?,a questionnaire," our business.Mandatory disclosuresTo evaluate NLB Group portfolio, a questionnaire was sent toall NFRD companies clients that are subject to non-finan"
JV,,What is one of the most significant projects of culture and cultural heritage?,GalicianWedding,"nificant projects ofculture and cultural heritage, the world-famous GalicianWedding, which was included by the New York Timesamong the nine European fe"
JV,,What was included by the New York Times among the nine European festivals that must be visited?,GalicianWedding,"nificant projects ofculture and cultural heritage, the world-famous GalicianWedding, which was included by the New York Timesamong the nine European fe"
JV,,"What is the CEO Statement Key Highlights 2022 About NLB Group at a Glance Sustainability Strategy Governance Sustainable Operations Sustainable Finance and Risk Management Metrics and Targets Contribution to Society Appendices Contents Material topics GRI 3 Material 3-1 Process to determine material topics See chapter Materiality matrix and ESG material issues in the Sustainability Report, page 213-2 List of what?",material topics,"ESG material issuesin the Sustainability Report, page 213-2 List of material topics See chapter Materiality matrix and ESG material issuesin the Sustain"
JV,,"What is the Sustainability Report, page 213-2 List of material topics See chapter Materiality matrix and ESG material issues?",GRI 3 Material3,nd TargetsContribution toSocietyAppendicesContentsMaterial topicsGRI 3 Material3-1 Process to determine material topics See chapter Materiality matrix
JV,,"What is the GRI 3 Material 3-3 Management of material topics 1. See the NLB Group Sustainability Framework at https//www.nlb.si/sustainability 2. See the Annual Report Business report, pages 27 - 118 GRI 202 Market 202-1 Ratios of standard entry level wage by gender compared to local minimum wage?",Market presence,Market presenceGRI 3 Material3-3 Management of material topics 1. See the NLB Grou
JV,,What are NOx and SOx?,Nitrogen oxides,"not calculated due todata unavailability inNLB Group members.305-7 Nitrogen oxides NOx, sulfur oxides SOx,and other significant air emissionsYes I"
JV,,"What is the Chapter Health and safety in the Sustainability Report, page 57 403-6 Promotion of worker health?",Worker training,"Chapter Health and safety in the Sustainability Report, page 57403-5 Worker training on occupationalhealth and safety1. See Chapter Health and safety in"
JV,,What is the name of the chapter on remuneration in the Sustainability Report?,Human Resources,"See chapter Human Resources in the Annual Report, page 106404-2 Programs for upgrading employee "
JV,,What are NLB Group management board members and other employees committed to?,achieve targets,"agement board members and other identified employees arecommitted to achieve targets, which are set out in their respective areas. "
JV,,"Chapter Identification and assessment of climate-related and other ESG risks, page 67?",risk management,g climate-relatedrisks are integrated intothe organizations overallrisk managementd Banks should considercharacterizing their climate-related risks 
JV,,"Banks should consider characterizing their climate- related risks in the context of traditional banking industry risk categories such as credit risk, market risk, liquidity risk, and operational risk?",risk management,g climate-relatedrisks are integrated intothe organizations overallrisk managementd Banks should considercharacterizing their climate-related risks 
JV,,What does NLB Group refocus on?,green financing,"To further strengthen its mission, NLBGroup refocuses on green financing and supporting agreen transition. Besides, it actively seeks new bus"
JV,,What are the three most common sectors in NLB Group?,wholesale trade,"ated into the tool, among them thethree most common in NLB Group1. wholesale trade, except motor vehicles and motorcycles,2. retail trade, except motor"
JV,,What type of impact does Consumer Banking have on the economy?,Negative impact,"ic contextualisation.Positive impact Negative impact Positive impact Negative impactConsumer Banking ImpactEmployment Inclusive, healthy, economiesBuss"
JV,,What should your bank consider the main challenges and priorities in terms of sustainable development in your main country/ies of operation?,setting targets," development in your main country/ies of operationfor the purpose of setting targets. These can be found in NationalDevelopment Plans and strategies, int"
JV,,"Montenegro identified air quality, climate change, and transport to meet the objectives of what agreement?",Paris Agreement," quality, climate change, andtransport to meet the objectives of the Paris Agreement andglobal air quality targets.The country has developed and adopted"
JV,,What was the scope of NLBs new corporate projects by 2030?,EUR 785 million,"by 2030 to finance new sustainable corporate projects with a scopeof EUR 785 million.A.1.2.In May 2022, we joined the Net-Zero Banking Alliance, and acc"
JV,,What has your bank analysed and acknowledged significant potential indirect impacts of?,the set targets,alysed and acknowl-edged significant potential indirect impacts of the set targetswithin the impact area or on other impact areas and that ithas set o
JV,,"By 2030, the volume of new sustainable corporate financing in NLB Group will be at least how much?",EUR 785 million, of new sustainable corporate financingin NLB Group will be at least EUR 785 million.
JV,,"By 2030, the volume of new sustainable corporate financing in NLB Group will be at least how much?",EUR 785 million, ofnew sustainable corporatefinancing in NLB Group will beat least EUR 785 million.In the area of Corporate and Investment banking theGroup made mater
JV,,How many pages are in the Sustainability Report 2022?,p. 34 and p. 73," 1. For more information please, refer to Sustainability Report 2022p. 34 and p. 73 2. For more information, please refer to NLB Green loans for leg"
JV,,Automatic categorisation enables us to assess the risk level that classifies what?,the transaction,"ic categorisation enables us to assess the risk levelthat classifies the transaction. If the transaction is classifiedwith high ES risk, a strict deviat"
JV,,What are NLB and other members of NLB exposed to in their operations?,corruption risk,"n their operations, NLB and other members ofNLB Group are exposed to corruption risk, to which NLB Group is exposed in connection to the risk of fraud and"
JV,,What is NLB exposed to?,corruption risk,"n their operations, NLB and other members ofNLB Group are exposed to corruption risk, to which NLB Group is exposed in connection to the risk of fraud and"
JV,,What do we strive to incorporate into the everyday operations of NLB Group and our employees?,mindful thinking,"futurefor generations to come, we strive to incorporatethis type of mindful thinking into the everydayoperations of NLB Group and our employees."
JV,,Where do we focus our efforts?,Southeast Europe,"ain objectives is improving the quality of life inour home region of Southeast Europe, it is not surprising thatwe have put sustainability in its broadest"
JV,,What did the bank donate to two most polluted municipalities in Serbia?,air purification,"a Banka Beograd employees passing by Te�Tno drvo, a new solution for air purification. The bank donated the solution to two most polluted municipalities in"
JV,,What is the name of the bank of the year in Ljubljana?,NLB Banka Skopje," financial institutions andbest accounting report by Finance Daily NLB Banka Skopje Bank of the Year The Banker, and TheBest Bank in Macedonia Europ"
JV,,What do such collaborations strengthen capacities for?,green transition,"mportantly, such collaborations strengthen capacities forNLB Groups green transition, and enhance knowledge andexperience sharing, which we embed in our "
JV,,"In 2022, what group was nominated to strengthen sustainability governance?",ESG coordinators,trengthened sustainability governance acrossNLB Group with nominated ESG coordinators andestablished the ESMS system.
JV,,What does the NLB Group continuously adopt and supplement?,internal polices,ions when needed. The NLB Group continuously adopts and supplementsinternal polices as well as upgrading due diligenceprocesses in order to address ESG 
JV,,"Corporate Governance Continue to adhere to all national and international governance principles, mechanisms, and what else?",code of conducts,"all national and international governance principles, mechanisms, and code of conducts withthe highest diligence.5. "
JV,,What is NLBs parent bank?,Bank of Slovenia," applicableEU and national legislation, legal acts of the ECB and theBank of Slovenia, EBA guidelines and regulatory requirementsapplicable to respective "
JV,,NLB implements the corporate governance of Group members in compliance with EU and national legislation?,Bank of Slovenia," applicableEU and national legislation, legal acts of the ECB and theBank of Slovenia, EBA guidelines and regulatory requirementsapplicable to respective "
JV,,What are the fundamental principles of conduct on which the operations and actions of NLB are based?,values and rules,"ghtsThe NLB Group Code of Conduct represents fundamentalprinciples, values and rules and stipulates the fundamentalprinciples of conduct on which the ope"
JV,,What is the policy on the provision of diversity of the management body and senior management called?,Diversity Policy," provision of diversity of the managementbody and senior management Diversity Policy, adopted bythe General Meeting of Shareholders on 20 June 2022, def"
JV,,What does NLB respect and follow the initiative of the Slovene Directors Association?,gender diversity,ovene Directors Association for voluntary achievementof the goal of gender diversity by the end of 2026 40%for members of supervisory boards and a total
JV,,What is a member of the Management Board called?,SupervisoryBoard,"Board, Assessment ofthe collective suitability of the members of the SupervisoryBoard, Supervisory Board Self-assessment, Audit CommitteeSelf-assessment 2"
JV,,What is intended for discussion at the meetings of the Banks Supervisory Board?,individual areas,rials andproposed resolutions of the Management Board of the Bankin individual areas intended for discussion at the meetingsof the Banks Supervisory Boa
JV,,Who makes up the Sustainability Committee?,senior officials, Development. The SustainabilityCommittees membership is drawn from senior officialsacross all areas of the Bank. 
JV,,What are the members of the Committee drawn from?,senior officials, Development. The SustainabilityCommittees membership is drawn from senior officialsacross all areas of the Bank. 
JV,,What does each NLB Group core member have appointed?,a representative,"esustainability group-wide, each NLB Group core memberhas appointed a representative a specialist or a middlemanager, who is responsible for active col"
JV,,Who is responsible for supervising each individual business area?,the competent OU,"tions. Supervision in each individual business area iscarried out by the competent OU, which is responsible forthe implementation of procedures according "
JV,,Who is responsible for the implementation of procedures according to the Rules on Authorisations and Signing?,the competent OU,"tions. Supervision in each individual business area iscarried out by the competent OU, which is responsible forthe implementation of procedures according "
JV,,What are the remuneration policies in the NLB Group based on?,group guidelines,and in NLB Group. hereinafter remunerationpolicies. Based on the group guidelines the principles of theremuneration policies were also implemented in 
